----,
DateTime:,      2021/11/10, 12:49:31, 1636562971251,
PIF:,          -1492.44,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           2,    2, 
S/N Ratio:,   189.00,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,    177.121,     242.032,
    2,        3.3,    182.145,     243.128,
    3,        5.8,    184.778,     244.179,
    4,        8.3,    184.377,     246.609,
    5,       10.8,    184.083,     250.261,
    6,       13.3,    183.974,     251.497,
    7,       15.8,    183.953,     252.613,
    8,       18.3,    184.055,     254.647,
    9,       20.8,    184.163,     255.584,
   10,       23.3,    183.869,     258.711,
   11,       25.8,    184.229,     258.477,
   12,       28.3,    184.148,     261.034,
   13,       30.8,    184.391,     263.403,
   14,       33.3,    183.833,     265.018,
   15,       35.8,    184.138,     267.566,
   16,       38.3,    183.817,     267.489,
   17,       40.8,    183.689,     269.036,
   18,       43.3,    183.436,     271.587,
   19,       45.8,    183.638,     274.012,
   20,       48.3,    184.150,     274.336,
   21,       50.8,    183.950,     276.265,
   22,       53.3,    184.394,     278.041,
   23,       55.8,    184.110,     278.740,
   24,       58.3,    183.965,     281.679,
   25,       60.8,    184.020,     282.953,
   26,       63.3,    184.135,     284.406,
   27,       65.8,    184.126,     286.320,
   28,       68.3,    184.383,     287.820,
   29,       70.8,    183.759,     290.701,
   30,       73.3,    184.133,     291.469,
   31,       75.8,    183.858,     291.633,
   32,       78.3,    183.755,     294.790,
   33,       80.8,    183.633,     296.891,
   34,       83.3,    183.935,     297.762,
   35,       85.8,    183.975,     300.144,
   36,       88.3,    183.874,     300.037,
   37,       90.8,    184.236,     303.247,
   38,       93.3,    183.648,     305.307,
   39,       95.8,    184.024,     306.586,
   40,       98.3,    183.802,     308.043,
   41,      100.8,    184.082,     309.475,
   42,      103.3,    183.686,     310.687,
   43,      105.8,    183.760,     312.194,
   44,      108.3,    183.539,     314.477,
   45,      110.8,    183.815,     316.454,
   46,      113.3,    183.629,     317.864,
   47,      115.8,    183.737,     319.309,
   48,      118.3,    183.679,     320.500,
   49,      120.8,    183.518,     322.959,
   50,      123.3,    184.356,     324.203,
   51,      125.8,    183.774,     326.046,
   52,      128.3,    184.219,     326.346,
   53,      130.8,    183.492,     329.001,
   54,      133.3,    183.830,     330.300,
   55,      135.8,    183.755,     331.250,
   56,      138.3,    183.753,     333.430,
   57,      140.8,    183.804,     334.698,
   58,      143.3,    183.816,     335.766,
   59,      145.8,    183.803,     336.878,
   60,      148.3,    183.679,     338.194,
   61,      150.8,    184.276,     338.726,
   62,      153.3,    183.772,     342.920,
   63,      155.8,    184.537,     341.769,
   64,      158.3,    183.950,     344.491,
   65,      160.8,    183.239,     346.918,
   66,      163.3,    183.709,     347.392,
   67,      165.8,    183.502,     349.962,
   68,      168.3,    183.323,     350.579,
   69,      170.8,    183.529,     351.002,
   70,      173.3,    183.798,     351.849,
   71,      175.8,    183.602,     353.858,
   72,      178.3,    183.783,     355.414,
   73,      180.8,    184.067,     355.680,
   74,      183.3,    183.752,     357.378,
   75,      185.8,    184.407,     357.193,
