----,
DateTime:,      2021/11/10, 13:13:24, 1636564404401,
PIF:,          -1484.06,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           2,    2, 
S/N Ratio:,   191.43,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    177.080,     240.489,      0.000,
    2,        3.3,    182.769,     242.713,      0.000,
    3,        5.8,    184.340,     244.850,      0.000,
    4,        8.3,    184.520,     246.508,      0.000,
    5,       10.8,    184.227,     248.257,      0.000,
    6,       13.3,    184.504,     250.052,      0.000,
    7,       15.8,    184.386,     250.755,      0.000,
    8,       18.3,    184.198,     253.997,      0.000,
    9,       20.8,    184.691,     255.214,      0.000,
   10,       23.3,    183.819,     258.057,      0.000,
   11,       25.8,    184.178,     258.639,      0.000,
   12,       28.3,    184.194,     260.246,      0.000,
   13,       30.8,    183.762,     262.491,      0.000,
   14,       33.3,    183.782,     263.821,      0.000,
   15,       35.8,    183.798,     266.791,      0.000,
   16,       38.3,    184.537,     266.536,      0.000,
   17,       40.8,    184.217,     268.899,      0.000,
   18,       43.3,    183.964,     269.812,      0.000,
   19,       45.8,    183.973,     273.061,      0.000,
   20,       48.3,    183.810,     274.118,      0.000,
   21,       50.8,    184.092,     274.785,      0.000,
   22,       53.3,    183.958,     276.345,      0.000,
   23,       55.8,    184.059,     277.822,      0.000,
   24,       58.3,    184.202,     279.778,      0.000,
   25,       60.8,    183.873,     282.182,      0.000,
   26,       63.3,    184.276,     283.194,      0.000,
   27,       65.8,    184.363,     284.687,      0.000,
   28,       68.3,    184.043,     287.084,      0.000,
   29,       70.8,    184.285,     288.063,      0.000,
   30,       73.3,    184.178,     289.860,      0.000,
   31,       75.8,    183.999,     291.228,      0.000,
   32,       78.3,    184.088,     293.532,      0.000,
