----,
DateTime:,      2021/11/10, 13:23:55, 1636565034943,
PIF:,           -589.74,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           5,    2, 
S/N Ratio:,   281.47,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    177.350,     243.345,      0.000,
    2,        3.3,    182.661,     245.916,      0.000,
    3,        5.8,    184.135,     248.391,      0.000,
    4,        8.3,    184.315,     249.125,      0.000,
    5,       10.8,    184.022,     251.369,      0.000,
    6,       13.3,    184.009,     252.690,      0.000,
    7,       15.8,    183.602,     254.994,      0.000,
    8,       18.3,    183.896,     256.326,      0.000,
    9,       20.8,    183.715,     258.212,      0.000,
   10,       23.3,    184.000,     259.333,      0.000,
   11,       25.8,    183.781,     261.275,      0.000,
   12,       28.3,    183.797,     262.776,      0.000,
   13,       30.8,    184.328,     263.754,      0.000,
   14,       33.3,    184.156,     265.956,      0.000,
   15,       35.8,    183.883,     268.417,      0.000,
   16,       38.3,    183.755,     270.019,      0.000,
   17,       40.8,    183.724,     271.154,      0.000,
   18,       43.3,    183.471,     273.271,      0.000,
   19,       45.8,    183.672,     274.279,      0.000,
   20,       48.3,    183.221,     276.919,      0.000,
   21,       50.8,    183.792,     277.256,      0.000,
   22,       53.3,    183.754,     279.055,      0.000,
   23,       55.8,    183.759,     280.244,      0.000,
   24,       58.3,    183.710,     282.169,      0.000,
   25,       60.8,    183.669,     283.866,      0.000,
   26,       63.3,    183.880,     284.302,      0.000,
   27,       65.8,    183.583,     286.832,      0.000,
   28,       68.3,    183.935,     287.587,      0.000,
   29,       70.8,    183.408,     290.485,      0.000,
   30,       73.3,    183.301,     291.637,      0.000,
   31,       75.8,    183.507,     293.053,      0.000,
   32,       78.3,    183.789,     294.454,      0.000,
