Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:23:55,    1636565034943, -589.74,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.069,   247.410,    416.540,    169.130,  0.4060,  0.6836,    89.41,  0.4270,     0.000,    2.939,  0.000,     1079,  0.000,     4523,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.619,   666.31,   412.30,  0.712,       2.00,    0.000,    600.00,  281.47,   0.010,     0.0,     0.0,     0.0,     0.0,    1539,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:23:57,    1636565037367, -589.49,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.113,   256.580,    426.550,    169.970,  0.3985,  0.6624,    85.53,  0.3420,     0.000,    3.270,  0.000,      903,  0.000,     2755,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.562,  1106.70,   621.69,  0.594,       4.19,    0.000,    600.00,  249.03,   0.010,     0.0,     0.0,     0.0,     0.0,     843,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:26:58,    1636565218698, -547.98,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   20.00,    0.00,      1.345,   276.220,    497.000,    220.780,  0.4442,  0.7993,    88.59,  0.2920,     0.000,    3.294,  0.000,      810,  0.000,     1698,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.568,  1440.85,   818.44,  0.328,       8.47,    0.000,    600.00,  255.78,   0.010,     0.0,     0.0,     0.0,     0.0,     515,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:27:01,    1636565221055, -592.64,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.809,   249.920,    469.430,    219.510,  0.4676,  0.8783,    88.86,  0.4270,     0.000,    2.591,  0.000,      700,  0.000,     1346,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.587,  1597.08,   937.66,  0.522,       5.21,    0.000,    600.00,  272.57,   0.010,     0.0,     0.0,     0.0,     0.0,     519,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:30:02,    1636565402343, -493.47,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      1.572,   291.230,    519.000,    227.770,  0.4389,  0.7821,    86.01,  0.2240,     0.000,    3.426,  0.000,      757,  0.000,     1671,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.541,  1583.98,   857.27,  0.384,       6.95,    0.000,    600.00,  273.50,   0.010,     0.0,     0.0,     0.0,     0.0,     488,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:30:04,    1636565404638, -590.21,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.686,   245.500,    466.450,    220.950,  0.4737,  0.9000,    90.96,  0.4490,     0.000,    2.450,  0.000,      640,  0.000,     1225,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.603,  1686.59,  1016.47,  0.381,       5.86,    0.000,    600.00,  274.71,   0.010,     0.0,     0.0,     0.0,     0.0,     500,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:33:06,    1636565585899, -369.68,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      1.877,   324.040,    533.230,    209.190,  0.3923,  0.6456,    88.93,  0.1240,     0.000,    5.316,  0.000,      769,  0.000,     2590,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.549,  1500.93,   823.36,  0.492,       4.41,    0.000,    600.00,  263.54,   0.010,     0.0,     0.0,     0.0,     0.0,     487,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:33:08,    1636565588321, -590.89,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.876,   245.190,    479.160,    233.970,  0.4883,  0.9542,    88.34,  0.4460,     0.000,    2.389,  0.000,      581,  0.000,     1120,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.580,  1924.37,  1116.72,  0.341,       7.69,    0.000,    600.00,  294.09,   0.010,     0.0,     0.0,     0.0,     0.0,     469,    1.5000,
C:\LIFT\DATA\MURIS_202111101320_MaBe3689_590_ca_data.csv                                                                       ,2021/11/10, 13:36:10,    1636565769817, -101.49,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      2.168,   385.660,    554.350,    168.690,  0.3043,  0.4374,    88.68,  0.0000,     0.000,    6.424,  0.000,      667,  0.000,     3555,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.534,  1534.98,   819.73,  0.784,       3.28,    0.000,    600.00,  202.63,   0.010,     0.0,     0.0,     0.0,     0.0,     553,    1.5000,
