----,
DateTime:,      2021/11/10, 14:01:27, 1636567287554,
PIF:,           -594.53,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           5,    2, 
S/N Ratio:,   243.52,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    176.914,     221.613,      0.000,
    2,        3.3,    182.627,     224.726,      0.000,
    3,        5.8,    184.294,     227.714,      0.000,
    4,        8.3,    184.865,     228.093,      0.000,
    5,       10.8,    184.474,     229.986,      0.000,
    6,       13.3,    184.072,     232.009,      0.000,
    7,       15.8,    183.857,     233.041,      0.000,
    8,       18.3,    183.863,     235.536,      0.000,
    9,       20.8,    183.972,     236.919,      0.000,
   10,       23.3,    184.065,     237.776,      0.000,
   11,       25.8,    184.039,     239.441,      0.000,
   12,       28.3,    183.571,     241.685,      0.000,
   13,       30.8,    183.717,     243.452,      0.000,
   14,       33.3,    184.223,     244.086,      0.000,
   15,       35.8,    184.045,     246.061,      0.000,
   16,       38.3,    183.723,     247.799,      0.000,
   17,       40.8,    183.886,     250.082,      0.000,
   18,       43.3,    184.213,     251.483,      0.000,
   19,       45.8,    184.221,     252.665,      0.000,
   20,       48.3,    184.639,     253.827,      0.000,
   21,       50.8,    184.148,     256.567,      0.000,
   22,       53.3,    184.013,     258.277,      0.000,
   23,       55.8,    184.696,     258.946,      0.000,
   24,       58.3,    184.066,     260.810,      0.000,
   25,       60.8,    184.412,     262.165,      0.000,
   26,       63.3,    184.431,     263.006,      0.000,
   27,       65.8,    184.132,     266.149,      0.000,
   28,       68.3,    184.389,     266.970,      0.000,
   29,       70.8,    184.150,     269.380,      0.000,
   30,       73.3,    183.946,     271.093,      0.000,
   31,       75.8,    184.056,     272.234,      0.000,
   32,       78.3,    184.146,     273.405,      0.000,
