Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:49:11,    1636570151456, -595.14,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.462,   237.660,    409.770,    172.110,  0.4200,  0.7242,    93.96,  0.4570,     0.000,    2.941,  0.000,     1152,  0.000,     5115,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.664,   561.50,   372.67,  0.640,       2.00,    0.000,    600.00,  272.92,   0.010,     0.0,     0.0,     0.0,     0.0,    1739,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:49:14,    1636570154010, -595.61,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.063,   249.170,    424.770,    175.600,  0.4134,  0.7047,    85.85,  0.3490,     0.000,    3.044,  0.000,      877,  0.000,     2262,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.563,  1197.06,   674.05,  0.520,       4.54,    0.000,    600.00,  226.32,   0.010,     0.0,     0.0,     0.0,     0.0,     743,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:52:15,    1636570335279, -552.18,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   20.00,    0.00,      1.375,   269.720,    491.230,    221.510,  0.4509,  0.8213,    90.72,  0.2940,     0.000,    3.479,  0.000,      831,  0.000,     1809,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.583,  1374.84,   801.51,  0.290,       9.18,    0.000,    600.00,  240.87,   0.010,     0.0,     0.0,     0.0,     0.0,     520,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:52:17,    1636570337524, -596.01,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.187,   243.130,    468.080,    224.950,  0.4806,  0.9252,    88.19,  0.4270,     0.000,    2.595,  0.000,      698,  0.000,     1401,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.583,  1583.35,   923.04,  0.415,       5.33,    0.000,    600.00,  296.41,   0.010,     0.0,     0.0,     0.0,     0.0,     540,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:55:18,    1636570518793, -498.80,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      1.836,   286.120,    512.470,    226.350,  0.4417,  0.7911,    89.15,  0.2040,     0.000,    3.890,  0.000,      776,  0.000,     1890,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.559,  1499.47,   838.71,  0.368,       9.14,    0.000,    600.00,  277.75,   0.010,     0.0,     0.0,     0.0,     0.0,     486,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:55:21,    1636570521036, -595.20,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.737,   241.470,    466.150,    224.680,  0.4820,  0.9305,    90.98,  0.4390,     0.000,    2.528,  0.000,      641,  0.000,     1262,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.601,  1683.43,  1012.17,  0.511,       5.53,    0.000,    600.00,  348.44,   0.010,     0.0,     0.0,     0.0,     0.0,     499,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:58:22,    1636570702306, -379.41,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      2.138,   321.820,    533.720,    211.900,  0.3970,  0.6584,    89.48,  0.1160,     0.000,    5.009,  0.000,      731,  0.000,     2295,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.551,  1577.61,   868.75,  0.606,       5.01,    0.000,    600.00,  260.74,   0.010,     0.0,     0.0,     0.0,     0.0,     458,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 14:58:24,    1636570704579, -595.79,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.944,   240.970,    468.560,    227.590,  0.4857,  0.9445,    91.76,  0.4520,     0.000,    2.766,  0.000,      631,  0.000,     1315,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.608,  1730.13,  1051.12,  0.466,       5.56,    0.000,    600.00,  294.89,   0.010,     0.0,     0.0,     0.0,     0.0,     475,    1.5000,
C:\LIFT\DATA\MURIS_202111101446_MaBe3689_590_caloxy_data.csv                                                                   ,2021/11/10, 15:01:26,    1636570885849, -111.30,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.748,   379.890,    546.370,    166.480,  0.3047,  0.4382,    87.67,  0.0000,     0.000,    6.510,  0.000,      682,  0.000,     3759,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.528,  1504.54,   794.32,  0.697,       3.42,    0.000,    600.00,  179.80,   0.010,     0.0,     0.0,     0.0,     0.0,     577,    1.5000,
