----,
DateTime:        , 2022/04/06, 14:53:24, 1649267603866,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -65.36,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #01000,
Gain:,             50,       5, 
Sio:,     49.39,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     45.222,
    1,        0.8,    169.396,      44.948,     45.932,
    2,        3.3,    183.394,      45.410,     45.895,
    3,        5.8,    183.742,      45.836,     45.892,
    4,        8.3,    183.847,      45.680,     45.913,
    5,       10.8,    184.021,      45.930,     45.953,
    6,       13.3,    184.160,      45.993,     46.006,
    7,       15.8,    184.230,      46.345,     46.069,
    8,       18.3,    184.230,      46.041,     46.140,
    9,       20.8,    184.265,      46.249,     46.216,
   10,       23.3,    184.160,      46.221,     46.296,
   11,       25.8,    184.474,      46.327,     46.379,
   12,       28.3,    184.369,      46.581,     46.463,
   13,       30.8,    184.439,      46.639,     46.549,
   14,       33.3,    184.474,      46.598,     46.636,
   15,       35.8,    184.578,      46.344,     46.723,
   16,       38.3,    184.509,      46.676,     46.810,
   17,       40.8,    184.613,      46.823,     46.897,
   18,       43.3,    184.717,      47.002,     46.984,
   19,       45.8,    184.717,      46.991,     47.071,
   20,       48.3,    184.822,      47.159,     47.158,
   21,       50.8,    184.613,      47.418,     47.244,
   22,       53.3,    184.787,      47.504,     47.329,
   23,       55.8,    184.717,      47.641,     47.415,
   24,       58.3,    184.717,      47.630,     47.499,
   25,       60.8,    184.787,      47.471,     47.584,
   26,       63.3,    184.822,      47.603,     47.667,
   27,       65.8,    184.926,      47.684,     47.750,
   28,       68.3,    184.926,      47.684,     47.833,
   29,       70.8,    184.787,      47.774,     47.915,
