Source DataFile                                                                 ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
--------------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:41:46,    1649421706689,--Not Acquired--     ,--Not Acquired--     , -116.66,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     19.148,   124.730,    275.930,    151.200,  0.5480,  1.2122,    70.28,  0.1290,     0.000,    0.000,  0.644,      624,  0.263,     5274,  0.093,   283293,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.470,    75.79,    35.60,  0.000,       5.00,    0.004,    600.00,  468.64,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:41:48,    1649421708761,--Not Acquired--     ,--Not Acquired--     , -116.29,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.231,   138.470,    253.590,    115.120,  0.4540,  0.8314,    90.35,  0.2000,     0.000,    0.000,  0.648,      596,  0.310,     3364,  0.042,    70065,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.583,   403.49,   235.26,  0.046,      24.29,    0.025,    600.00,  424.68,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:44:49,    1649421889774,--Not Acquired--     ,--Not Acquired--     , -111.34,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.757,   147.640,    382.730,    235.090,  0.6142,  1.5923,    81.45,  0.3560,     0.000,    0.000,  0.553,      197,  0.381,     1142,  0.066,     4985,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.517,  2562.83,  1325.69,  0.932,      17.41,    0.033,    600.00,  573.82,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:44:51,    1649421891769,--Not Acquired--     ,--Not Acquired--     , -115.17,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.771,   133.310,    377.730,    244.420,  0.6471,  1.8335,    79.20,  0.3160,     0.000,    0.000,  0.544,      248,  0.420,     1490,  0.037,    17980,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.510,  1517.27,   773.75,  0.574,      19.02,    0.045,    600.00,  626.98,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:47:52,    1649422072746,--Not Acquired--     ,--Not Acquired--     , -107.86,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.059,   147.540,    342.440,    194.900,  0.5692,  1.3210,    88.23,  0.3980,     0.000,    0.000,  0.531,      243,  0.420,     1298,  0.049,     6849,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.572,  1992.87,  1140.00,  0.668,      18.45,    0.038,    600.00,  507.97,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:47:54,    1649422074726,--Not Acquired--     ,--Not Acquired--     , -115.29,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.156,   130.310,    349.600,    219.290,  0.6273,  1.6828,    75.53,  0.2610,     0.000,    0.000,  0.539,      264,  0.420,     1518,  0.041,    17645,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.480,  1491.48,   716.29,  0.561,      17.37,    0.031,    600.00,  633.53,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:50:55,    1649422255713,--Not Acquired--     ,--Not Acquired--     ,  -98.89,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.273,   150.720,    326.960,    176.240,  0.5390,  1.1693,    79.60,  0.3100,     0.000,    0.000,  0.557,      273,  0.416,     1471,  0.028,    16838,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.509,  1768.33,   899.51,  0.670,      16.12,    0.034,    600.00,  542.80,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:50:57,    1649422257673,--Not Acquired--     ,--Not Acquired--     , -114.97,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.721,   128.140,    322.010,    193.870,  0.6021,  1.5130,    76.18,  0.2460,     0.000,    0.000,  0.535,      300,  0.422,     1635,  0.042,    22253,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.486,  1220.10,   592.60,  0.388,      17.59,    0.030,    600.00,  598.50,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220408\PICO_2022040809138_caloxy_SySl1157_445_2_LL_data.csv , 2022/04/08, 09:53:58,    1649422438666,--Not Acquired--     ,--Not Acquired--     , -115.41,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.680,   120.200,    303.540,    183.340,  0.6040,  1.5253,    74.45,  0.3030,     0.000,    0.000,  0.667,      645,  0.264,     5222,  0.069,   251431,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.531,    99.55,    52.88,  0.000,       5.00,    0.030,    600.00,  562.93,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
