----,
DateTime:        , 2022/04/10, 13:34:54, 1649608493870,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -112.28,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,       5, 
Sio:,    134.72,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    131.538,
    1,        0.8,    172.565,     129.839,    133.573,
    2,        3.3,    181.491,     133.082,    134.123,
    3,        5.8,    181.796,     136.161,    134.663,
    4,        8.3,    181.948,     136.641,    135.194,
    5,       10.8,    181.796,     137.152,    135.714,
    6,       13.3,    182.025,     137.177,    136.225,
    7,       15.8,    182.025,     137.858,    136.727,
    8,       18.3,    182.101,     138.020,    137.219,
    9,       20.8,    182.139,     138.452,    137.703,
   10,       23.3,    182.139,     138.957,    138.177,
   11,       25.8,    182.063,     139.807,    138.641,
   12,       28.3,    182.254,     140.099,    139.098,
   13,       30.8,    182.330,     140.282,    139.546,
   14,       33.3,    182.406,     140.465,    139.986,
   15,       35.8,    182.521,     140.990,    140.417,
   16,       38.3,    182.406,     141.693,    140.840,
   17,       40.8,    182.444,     141.816,    141.255,
   18,       43.3,    182.673,     142.055,    141.663,
   19,       45.8,    182.559,     142.604,    142.062,
   20,       48.3,    182.444,     142.715,    142.454,
   21,       50.8,    182.749,     143.002,    142.839,
   22,       53.3,    182.406,     143.732,    143.215,
   23,       55.8,    182.521,     143.861,    143.585,
   24,       58.3,    182.673,     144.310,    143.948,
   25,       60.8,    182.597,     144.392,    144.303,
   26,       63.3,    182.711,     144.893,    144.652,
   27,       65.8,    182.673,     145.142,    144.994,
   28,       68.3,    182.711,     145.769,    145.329,
   29,       70.8,    182.711,     145.769,    145.658,
