Source DataFile                                                                ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:18:32,    1649614712542,--Not Acquired--     ,--Not Acquired--     , -298.62,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.003,   395.420,    536.280,    140.860,  0.2627,  0.3562,   153.02,  0.0000,     0.000,    0.000,  0.486,      150,  0.401,      935,  0.113,     6531,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.922,   916.99,   845.01,  0.714,       5.00,    0.029,    600.00,  305.11,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:18:34,    1649614714509,--Not Acquired--     ,--Not Acquired--     , -297.25,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.911,   390.370,    550.090,    159.720,  0.2904,  0.4092,   157.54,  0.0020,     0.000,    0.000,  0.686,      150,  0.245,     1190,  0.069,     7007,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.949,  1198.44,  1137.47,  0.118,      70.51,    0.016,    600.00,  256.36,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:21:35,    1649614895510,--Not Acquired--     ,--Not Acquired--     , -270.39,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   40.00,    0.00,    0.00,     11.726,   534.080,    861.270,    327.190,  0.3799,  0.6126,   380.72,  0.0030,     0.000,    0.000,  0.463,      150,  0.457,      984,  0.080,     3593,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.295,   541.39,  1242.41,  0.155,      25.57,    0.000,    600.00,  710.22,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:21:37,    1649614897484,--Not Acquired--     ,--Not Acquired--     , -300.78,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.566,   471.350,    872.730,    401.380,  0.4599,  0.8516,   340.87,  0.0000,     0.000,    0.000,  0.499,      150,  0.428,     1095,  0.074,     3932,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.053,   585.39,  1201.69,  0.289,      16.19,    0.006,    600.00,  733.75,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:24:38,    1649615078465,--Not Acquired--     ,--Not Acquired--     , -238.31,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   80.00,    0.00,    0.00,      9.351,   571.740,    901.800,    330.060,  0.3660,  0.5773,   340.89,  0.0000,     0.000,    0.000,  0.476,      150,  0.449,      912,  0.075,     3888,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.053,   630.25,  1293.87,  0.132,      34.90,    0.000,    600.00,  580.56,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:24:40,    1649615080420,--Not Acquired--     ,--Not Acquired--     , -300.93,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.848,   477.600,    872.170,    394.570,  0.4524,  0.8262,   350.85,  0.0340,     0.000,    0.000,  0.399,      150,  0.421,     1019,  0.180,     2668,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.135,   485.45,  1036.59,  0.247,      14.14,    0.000,    600.00,  900.35,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:27:41,    1649615261381,--Not Acquired--     ,--Not Acquired--     , -178.46,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,  160.00,    0.00,    0.00,      9.459,   547.060,    816.530,    269.470,  0.3300,  0.4926,   257.24,  0.0000,     0.000,    0.000,  0.535,      150,  0.425,      857,  0.039,     5247,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.549,   992.39,  1537.36,  0.165,      33.31,    0.003,    600.00,  506.18,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:27:43,    1649615263365,--Not Acquired--     ,--Not Acquired--     , -300.75,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.489,   442.770,    784.690,    341.920,  0.4357,  0.7722,   275.15,  0.0000,     0.000,    0.000,  0.346,      150,  0.382,      845,  0.272,     2410,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.657,   586.31,   971.52,  0.339,       9.99,    0.001,    600.00,  888.00,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101515_caloxy_SySl1155_535_2_LL_data.csv , 2022/04/10, 15:30:44,    1649615444336,--Not Acquired--     ,--Not Acquired--     , -298.01,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     18.331,   393.430,    586.340,    192.910,  0.3290,  0.4903,   159.79,  0.0000,     0.000,    0.000,  0.549,      236,  0.386,     1287,  0.065,     8161,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.962,   897.30,   863.45,  0.775,       5.00,    0.037,    600.00,  380.93,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
