----,
DateTime:        , 2022/04/11, 12:51:47, 1649692307331,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -65.12,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             50,       5, 
Sio:,    326.67,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     70.549,
    1,        0.8,    171.382,      69.808,     72.100,
    2,        3.3,    181.498,      72.363,     72.938,
    3,        5.8,    181.611,      74.774,     73.772,
    4,        8.3,    181.760,      75.329,     74.601,
    5,       10.8,    181.760,      76.044,     75.424,
    6,       13.3,    181.985,      76.489,     76.242,
    7,       15.8,    182.098,      77.265,     77.055,
    8,       18.3,    181.985,      78.291,     77.861,
    9,       20.8,    181.910,      78.829,     78.660,
   10,       23.3,    182.135,      79.369,     79.453,
   11,       25.8,    182.173,      80.242,     80.239,
   12,       28.3,    182.060,      80.884,     81.017,
   13,       30.8,    182.173,      81.702,     81.788,
   14,       33.3,    182.248,      82.381,     82.552,
   15,       35.8,    182.322,      83.379,     83.309,
   16,       38.3,    182.322,      84.092,     84.058,
   17,       40.8,    182.360,      84.875,     84.799,
   18,       43.3,    182.472,      85.250,     85.532,
   19,       45.8,    182.472,      86.270,     86.258,
   20,       48.3,    182.622,      86.725,     86.975,
   21,       50.8,    182.585,      87.553,     87.685,
   22,       53.3,    182.472,      88.517,     88.385,
   23,       55.8,    182.622,      88.970,     89.078,
   24,       58.3,    182.735,      89.977,     89.762,
   25,       60.8,    182.547,      90.408,     90.438,
   26,       63.3,    182.622,      91.324,     91.105,
   27,       65.8,    182.622,      91.543,     91.764,
   28,       68.3,    182.810,      92.139,     92.414,
   29,       70.8,    182.735,      92.997,     93.056,
