Source DataFile                                                            ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
---------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:43:21,    1649767401771,--Not Acquired--     ,--Not Acquired--     , -290.50,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.190,    95.210,    145.220,     50.010,  0.3444,  0.5253,    60.02,  0.0570,     0.000,    0.000,  0.605,      797,  0.310,     6811,  0.085,   158254,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.372,   167.82,    62.37,  0.000,       5.00,    0.000,    600.00,  165.51,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:43:24,    1649767403868,--Not Acquired--     ,--Not Acquired--     , -290.29,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.550,    98.420,    143.670,     45.250,  0.3150,  0.4598,    60.48,  0.0000,     0.000,    0.000,  0.573,      700,  0.315,     3234,  0.112,    22475,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.364,   697.39,   254.00,  0.000,       5.00,    0.030,    600.00,  149.26,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:46:25,    1649767584897,--Not Acquired--     ,--Not Acquired--     , -282.63,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.484,   104.130,    151.120,     46.990,  0.3109,  0.4513,    52.83,  0.1210,     0.000,    0.000,  0.636,      363,  0.329,     1746,  0.035,    25014,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.325,  1905.64,   618.54,  0.600,      11.74,    0.009,    600.00,  123.99,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:46:27,    1649767586868,--Not Acquired--     ,--Not Acquired--     , -284.98,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.297,    94.750,    143.120,     48.370,  0.3380,  0.5105,    65.13,  0.0000,     0.000,    0.000,  0.608,      657,  0.295,     3197,  0.097,    20102,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.392,   774.30,   303.70,  0.000,       5.00,    0.010,    600.00,  143.24,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:49:28,    1649767767874,--Not Acquired--     ,--Not Acquired--     , -280.55,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.330,   103.710,    144.420,     40.710,  0.2819,  0.3925,    48.92,  0.0470,     0.000,    0.000,  0.541,      332,  0.402,     1306,  0.057,     7713,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.296,  3011.93,   891.86,  0.697,      11.05,    0.005,    600.00,   99.87,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:49:30,    1649767769837,--Not Acquired--     ,--Not Acquired--     , -284.65,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.096,    93.160,    140.070,     46.910,  0.3349,  0.5035,    63.31,  0.0000,     0.000,    0.000,  0.545,      628,  0.335,     2749,  0.120,    15318,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.381,   845.60,   322.39,  0.000,       5.00,    0.027,    600.00,  160.21,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:52:31,    1649767950846,--Not Acquired--     ,--Not Acquired--     , -276.86,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.749,   103.640,    142.410,     38.770,  0.2722,  0.3741,    46.33,  0.1080,     0.000,    0.000,  0.365,      245,  0.462,      831,  0.174,     3038,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.282,  3732.83,  1051.70,  0.713,      10.31,    0.004,    600.00,   95.08,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:52:32,    1649767952797,--Not Acquired--     ,--Not Acquired--     , -285.91,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.226,    91.770,    137.430,     45.660,  0.3322,  0.4975,    62.89,  0.0000,     0.000,    0.000,  0.358,      479,  0.427,     1571,  0.214,     9449,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.379,   920.56,   348.64,  0.000,       5.00,    0.036,    600.00,  122.66,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220412\PICO_202204120940_caloxy_SySl1156_445__data.csv , 2022/04/12, 09:55:33,    1649768133800,--Not Acquired--     ,--Not Acquired--     , -285.72,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.326,    92.070,    139.600,     47.530,  0.3405,  0.5162,    59.18,  0.0520,     0.000,    0.000,  0.581,      800,  0.332,     5863,  0.087,   103802,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.363,   241.41,    87.74,  0.000,       5.00,    0.000,    600.00,  157.20,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
