----,
DateTime:        , 2022/04/19, 11:26:14, 1650378374414,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -609.19,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              5,       5, 
Sio:,     50.08,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1146.751,
    1,        0.8,     88.614,    1157.545,   1167.332,
    2,        3.3,     91.443,    1160.462,   1167.154,
    3,        5.8,     90.220,    1163.326,   1168.866,
    4,        8.3,     89.532,    1171.596,   1171.963,
    5,       10.8,     89.532,    1174.277,   1176.039,
    6,       13.3,     89.379,    1179.642,   1180.823,
    7,       15.8,     88.920,    1187.752,   1186.114,
    8,       18.3,     88.385,    1195.622,   1191.738,
    9,       20.8,     88.079,    1199.773,   1197.535,
   10,       23.3,     87.315,    1210.049,   1203.438,
   11,       25.8,     86.933,    1215.600,   1209.323,
   12,       28.3,     86.474,    1222.048,   1215.139,
   13,       30.8,     86.627,    1222.430,   1220.779,
   14,       33.3,     86.397,    1227.064,   1226.263,
   15,       35.8,     85.939,    1236.407,   1231.589,
   16,       38.3,     85.556,    1242.398,   1236.729,
   17,       40.8,     85.633,    1241.990,   1241.622,
   18,       43.3,     85.021,    1251.630,   1246.348,
   19,       45.8,     84.716,    1256.148,   1250.860,
   20,       48.3,     84.716,    1255.439,   1255.123,
   21,       50.8,     84.027,    1266.671,   1259.230,
   22,       53.3,     84.027,    1266.195,   1263.089,
   23,       55.8,     83.645,    1270.786,   1266.763,
   24,       58.3,     84.027,    1266.433,   1270.156,
   25,       60.8,     83.492,    1273.353,   1273.413,
   26,       63.3,     83.492,    1273.113,   1276.459,
   27,       65.8,     82.651,    1286.551,   1279.419,
