Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:14:21,    1650546861350,--Not Acquired--     ,--Not Acquired--     , -115.04,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.593,   182.260,    282.690,    100.430,  0.3553,  0.5510,    66.24,  0.1660,     0.000,    0.000,  0.640,      493,  0.307,     3734,  0.053,   190926,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.431,   204.16,    88.04,  0.000,     100.00,    0.013,    600.00,  258.76,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:14:23,    1650546863413,--Not Acquired--     ,--Not Acquired--     , -114.98,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.572,   187.960,    297.100,    109.140,  0.3674,  0.5807,    72.60,  0.1570,     0.000,    0.000,  0.516,      245,  0.418,     1460,  0.065,    10861,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.450,  1603.71,   722.32,  0.243,      16.64,    0.013,    600.00,  338.86,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:17:24,    1650547044377,--Not Acquired--     ,--Not Acquired--     , -103.51,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   40.00,    0.00,    0.00,      5.962,   211.750,    428.540,    216.790,  0.5059,  1.0238,    68.49,  0.0760,     0.000,    0.000,  0.555,      290,  0.406,     1501,  0.039,    10254,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.417,  2103.42,   877.54,  0.476,      17.30,    0.000,    600.00,  456.80,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:17:26,    1650547046361,--Not Acquired--     ,--Not Acquired--     , -115.73,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     16.870,   196.220,    436.490,    240.270,  0.5505,  1.2245,    66.28,  0.1860,     0.000,    0.000,  0.458,      230,  0.461,     1183,  0.081,     7342,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.411,  2077.11,   854.13,  0.274,      26.31,    0.002,    600.00,  729.32,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:20:27,    1650547227322,--Not Acquired--     ,--Not Acquired--     ,  -91.02,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   80.00,    0.00,    0.00,      7.914,   215.140,    422.530,    207.390,  0.4908,  0.9640,    71.22,  0.1010,     0.000,    0.000,  0.588,      303,  0.389,     1623,  0.023,    20851,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.436,  1836.48,   801.17,  0.428,      18.99,    0.000,    600.00,  471.68,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:20:29,    1650547229324,--Not Acquired--     ,--Not Acquired--     , -115.37,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     27.199,   195.800,    427.060,    231.260,  0.5415,  1.1811,    67.26,  0.1510,     0.000,    0.000,  0.459,      256,  0.437,     1064,  0.104,     5717,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.415,  2156.62,   893.93,  0.419,      19.53,    0.000,    600.00,  719.16,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:23:30,    1650547410319,--Not Acquired--     ,--Not Acquired--     ,  -64.60,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,  160.00,    0.00,    0.00,      2.804,   216.260,    394.360,    178.100,  0.4516,  0.8235,    73.75,  0.2030,     0.000,    0.000,  0.513,      238,  0.456,     1282,  0.031,    15618,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.460,  1952.56,   897.48,  0.562,      12.86,    0.009,    600.00,  465.83,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:23:32,    1650547412292,--Not Acquired--     ,--Not Acquired--     , -115.31,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.285,   190.000,    408.140,    218.140,  0.5345,  1.1481,    66.63,  0.3160,     0.000,    0.000,  0.482,      232,  0.447,     1253,  0.071,     8110,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.423,  2118.51,   896.73,  0.272,      24.70,    0.002,    600.00,  550.90,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220421\PICO_202204211011_caloxy_SySl1192_535_LL_data.csv , 2022/04/21, 10:26:33,    1650547593291,--Not Acquired--     ,--Not Acquired--     , -115.19,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.104,   187.520,    331.680,    144.160,  0.4346,  0.7688,    69.75,  0.3070,     0.000,    0.000,  0.496,      188,  0.411,     1330,  0.094,    10945,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.449,  1459.22,   654.92,  0.666,      11.44,    0.012,    600.00,  350.23,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
