----,
DateTime:        , 2022/04/25, 14:28:26, 1650907706584,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -322.63,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00010,
Gain:,             10,       5, 
Sio:,   1049.46,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1126.924,
    1,        0.8,    143.339,    1173.250,   1219.902,
    2,        3.3,    154.045,    1198.962,   1224.917,
    3,        5.8,    153.881,    1222.912,   1241.465,
    4,        8.3,    153.881,    1250.661,   1264.543,
    5,       10.8,    154.009,    1278.580,   1291.120,
    6,       13.3,    154.045,    1307.618,   1319.386,
    7,       15.8,    153.899,    1340.311,   1348.241,
    8,       18.3,    153.954,    1369.063,   1376.960,
    9,       20.8,    153.881,    1399.282,   1405.157,
   10,       23.3,    153.606,    1430.037,   1432.602,
   11,       25.8,    153.606,    1458.356,   1459.086,
   12,       28.3,    153.533,    1485.886,   1484.552,
   13,       30.8,    153.588,    1511.985,   1508.942,
   14,       33.3,    153.624,    1537.402,   1532.255,
   15,       35.8,    153.515,    1563.320,   1554.523,
   16,       38.3,    153.515,    1584.230,   1575.728,
   17,       40.8,    153.551,    1604.497,   1595.885,
   18,       43.3,    153.441,    1624.154,   1615.054,
   19,       45.8,    153.332,    1643.317,   1633.251,
   20,       48.3,    153.295,    1660.605,   1650.485,
   21,       50.8,    153.240,    1676.144,   1666.798,
   22,       53.3,    153.313,    1690.085,   1682.200,
   23,       55.8,    153.277,    1704.124,   1696.762,
   24,       58.3,    153.295,    1715.793,   1710.506,
   25,       60.8,    153.258,    1727.882,   1723.481,
   26,       63.3,    153.130,    1740.756,   1735.741,
   27,       65.8,    153.149,    1749.559,   1747.274,
