----,
DateTime:        , 2022/04/25, 14:45:56, 1650908756211,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -620.10,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00010,
Gain:,              5,       5, 
Sio:,   1113.99,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1055.120,
    1,        0.8,    145.230,    1105.039,   1147.564,
    2,        3.3,    154.073,    1131.558,   1156.235,
    3,        5.8,    153.835,    1156.594,   1175.765,
    4,        8.3,    153.872,    1185.434,   1201.394,
    5,       10.8,    154.018,    1216.380,   1230.241,
    6,       13.3,    154.000,    1249.772,   1260.574,
    7,       15.8,    154.036,    1280.636,   1291.303,
    8,       18.3,    154.036,    1312.577,   1321.778,
    9,       20.8,    153.927,    1344.957,   1351.614,
   10,       23.3,    153.780,    1375.891,   1380.567,
   11,       25.8,    153.762,    1406.491,   1408.477,
   12,       28.3,    153.560,    1436.599,   1435.302,
   13,       30.8,    153.707,    1464.506,   1460.951,
   14,       33.3,    153.652,    1490.932,   1485.471,
   15,       35.8,    153.597,    1517.247,   1508.866,
   16,       38.3,    153.597,    1539.513,   1531.146,
   17,       40.8,    153.524,    1562.003,   1552.350,
   18,       43.3,    153.524,    1582.065,   1572.494,
   19,       45.8,    153.414,    1601.971,   1591.633,
   20,       48.3,    153.359,    1620.020,   1609.785,
   21,       50.8,    153.286,    1636.973,   1626.990,
   22,       53.3,    153.359,    1651.971,   1643.258,
   23,       55.8,    153.377,    1666.248,   1658.651,
   24,       58.3,    153.231,    1681.285,   1673.243,
   25,       60.8,    153.212,    1693.626,   1687.029,
   26,       63.3,    153.194,    1705.186,   1700.049,
   27,       65.8,    153.194,    1715.630,   1712.340,
