----,
DateTime:        , 2022/04/25, 15:52:19, 1650912739401,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -610.81,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              5,       5, 
Sio:,    176.15,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1134.231,
    1,        0.8,     90.509,    1165.793,   1216.655,
    2,        3.3,     90.889,    1176.614,   1200.488,
    3,        5.8,     90.357,    1187.453,   1200.766,
    4,        8.3,     89.522,    1210.597,   1210.960,
    5,       10.8,     89.674,    1224.159,   1226.447,
    6,       13.3,     89.294,    1246.163,   1245.244,
    7,       15.8,     88.838,    1268.989,   1265.863,
    8,       18.3,     88.687,    1285.370,   1287.198,
    9,       20.8,     88.231,    1306.515,   1308.899,
   10,       23.3,     87.851,    1324.911,   1330.530,
   11,       25.8,     87.168,    1350.443,   1352.020,
   12,       28.3,     86.788,    1372.943,   1372.986,
   13,       30.8,     86.636,    1392.664,   1393.257,
   14,       33.3,     86.636,    1408.362,   1412.783,
   15,       35.8,     86.180,    1431.125,   1431.863,
   16,       38.3,     85.801,    1452.377,   1450.361,
   17,       40.8,     85.269,    1474.566,   1468.325,
   18,       43.3,     85.269,    1486.059,   1485.403,
   19,       45.8,     85.117,    1500.695,   1501.792,
   20,       48.3,     84.738,    1518.512,   1517.651,
   21,       50.8,     84.206,    1539.024,   1533.021,
   22,       53.3,     84.282,    1548.079,   1547.490,
   23,       55.8,     84.130,    1561.334,   1561.329,
   24,       58.3,     83.371,    1585.152,   1574.916,
   25,       60.8,     83.826,    1585.363,   1587.382,
   26,       63.3,     83.219,    1604.868,   1599.619,
   27,       65.8,     82.991,    1615.539,   1611.261,
