----,
DateTime:        , 2022/05/18, 11:41:18, 1652884878608,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -293.56,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,     38.75,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    455.959,
    1,        0.8,     89.434,     457.657,    464.345,
    2,        3.3,     91.455,     460.049,    464.564,
    3,        5.8,     90.482,     462.414,    465.007,
    4,        8.3,     89.808,     464.435,    465.630,
    5,       10.8,     89.958,     463.329,    466.392,
    6,       13.3,     89.509,     466.212,    467.267,
    7,       15.8,     88.760,     470.257,    468.229,
    8,       18.3,     88.535,     470.659,    469.255,
    9,       20.8,     88.610,     469.923,    470.323,
   10,       23.3,     87.712,     473.254,    471.428,
   11,       25.8,     87.413,     473.731,    472.550,
   12,       28.3,     87.113,     475.474,    473.679,
   13,       30.8,     86.589,     477.889,    474.811,
   14,       33.3,     86.739,     477.295,    475.929,
   15,       35.8,     86.439,     478.717,    477.035,
   16,       38.3,     85.841,     481.707,    478.127,
   17,       40.8,     85.616,     483.088,    479.196,
   18,       43.3,     85.391,     484.007,    480.241,
   19,       45.8,     85.466,     481.477,    481.254,
   20,       48.3,     84.867,     484.521,    482.245,
   21,       50.8,     84.718,     484.551,    483.205,
   22,       53.3,     84.418,     486.151,    484.135,
   23,       55.8,     84.343,     485.990,    485.032,
   24,       58.3,     83.969,     488.037,    485.900,
   25,       60.8,     83.520,     489.824,    486.740,
   26,       63.3,     83.520,     488.507,    487.544,
   27,       65.8,     82.921,     491.673,    488.324,
   28,       68.3,     83.146,     489.503,    489.065,
   29,       70.8,     82.846,     491.152,    489.778,
