Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:02:41,    1638457360996,  -64.86,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.779,    64.770,    139.320,     74.550,  0.5351,  1.1510,   104.23,  0.2530,     0.000,    3.987,  0.000,     1695,  0.000,     5100,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.682,   510.78,   348.40,  0.000,       2.00,    0.000,    600.00,  358.76,   0.010,     0.0,     0.0,     0.0,     0.0,    1279,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:02:43,    1638457363598,  -65.03,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.197,    64.900,    137.450,     72.550,  0.5278,  1.1179,   101.25,  0.1810,     0.000,    4.044,  0.000,     1367,  0.000,     3869,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.643,   690.14,   443.44,  0.000,       2.00,    0.000,    600.00,  301.94,   0.010,     0.0,     0.0,     0.0,     0.0,     957,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:05:45,    1638457545176,  -55.16,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   20.00,    0.00,     38.347,    70.430,    136.070,     65.640,  0.4824,  0.9320,   125.40,  0.0000,     0.000,    3.672,  0.000,     1639,  0.000,     3950,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.755,   487.89,   368.44,  0.000,       2.00,    0.000,    600.00,  287.42,   0.010,     0.0,     0.0,     0.0,     0.0,    1076,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:05:47,    1638457547765,  -64.37,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     28.508,    64.450,    139.750,     75.300,  0.5388,  1.1683,    97.97,  0.0000,     0.000,    3.682,  0.000,     1506,  0.000,     4217,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.590,   639.43,   377.25,  0.000,       2.00,    0.000,    600.00,  318.86,   0.010,     0.0,     0.0,     0.0,     0.0,    1145,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:08:49,    1638457729312,  -43.59,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,     23.274,    75.460,    136.000,     60.540,  0.4451,  0.8023,   121.14,  0.0000,     0.000,    4.525,  0.000,     1512,  0.000,     4797,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.730,   533.06,   388.87,  0.000,       2.00,    0.000,    600.00,  264.04,   0.010,     0.0,     0.0,     0.0,     0.0,    1060,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:08:52,    1638457731910,  -65.20,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.222,    64.070,    138.700,     74.630,  0.5381,  1.1648,   102.96,  0.0740,     0.000,    3.951,  0.000,     1501,  0.000,     4553,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.634,   601.35,   381.01,  0.000,       2.00,    0.000,    600.00,  252.56,   0.010,     0.0,     0.0,     0.0,     0.0,    1152,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:11:53,    1638457913460,  -18.72,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      7.918,    84.790,    136.780,     51.990,  0.3801,  0.6132,   117.83,  0.0000,     0.000,    4.781,  0.000,     1323,  0.000,     4350,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.710,   631.31,   447.96,  0.000,       2.00,    0.000,    600.00,  241.62,   0.010,     0.0,     0.0,     0.0,     0.0,     910,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:11:56,    1638457916096,  -65.01,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.354,    64.180,    137.670,     73.490,  0.5338,  1.1451,   102.47,  0.1490,     0.000,    3.546,  0.000,     1444,  0.000,     3988,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.645,   617.40,   398.26,  0.000,       2.00,    0.000,    600.00,  375.53,   0.010,     0.0,     0.0,     0.0,     0.0,    1125,    1.5000,
C:\LIFT\DATA\PICO\20211202\PICO_202112021059_SySl1019_long_data.csv                                                            ,2021/12/02, 11:14:57,    1638458097640,   35.29,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      3.939,   100.160,    140.180,     40.020,  0.2855,  0.3996,   113.50,  0.0000,     0.000,    6.319,  0.000,     1184,  0.000,     5507,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.683,   711.96,   486.62,  0.039,       2.00,    0.000,    600.00,  168.87,   0.010,     0.0,     0.0,     0.0,     0.0,     871,    1.5000,
