----,
DateTime:,      2021/12/02, 11:25:06, 1638458706459,
PIF:,            -64.89,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,          50,    2, 
S/N Ratio:,   343.70,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    177.344,      98.234,      0.000,
    2,        3.3,    182.555,     100.062,      0.000,
    3,        5.8,    183.737,     101.826,      0.000,
    4,        8.3,    184.304,     102.490,      0.000,
    5,       10.8,    183.915,     103.859,      0.000,
    6,       13.3,    183.612,     105.370,      0.000,
    7,       15.8,    183.495,     106.506,      0.000,
    8,       18.3,    184.079,     107.081,      0.000,
    9,       20.8,    183.704,     108.399,      0.000,
   10,       23.3,    183.796,     109.661,      0.000,
   11,       25.8,    183.674,     110.627,      0.000,
   12,       28.3,    183.690,     112.011,      0.000,
   13,       30.8,    183.642,     112.867,      0.000,
   14,       33.3,    183.760,     114.569,      0.000,
   15,       35.8,    183.775,     115.495,      0.000,
   16,       38.3,    183.744,     116.734,      0.000,
   17,       40.8,    183.616,     117.818,      0.000,
   18,       43.3,    183.941,     118.708,      0.000,
   19,       45.8,    183.950,     119.746,      0.000,
   20,       48.3,    183.499,     121.174,      0.000,
   21,       50.8,    184.261,     121.823,      0.000,
   22,       53.3,    183.838,     123.147,      0.000,
   23,       55.8,    183.652,     124.383,      0.000,
   24,       58.3,    183.314,     125.485,      0.000,
   25,       60.8,    183.370,     126.669,      0.000,
   26,       63.3,    183.676,     127.557,      0.000,
   27,       65.8,    183.667,     128.478,      0.000,
   28,       68.3,    183.251,     130.014,      0.000,
   29,       70.8,    184.262,     130.234,      0.000,
   30,       73.3,    183.674,     131.816,      0.000,
   31,       75.8,    183.688,     132.699,      0.000,
   32,       78.3,    183.681,     133.945,      0.000,
