----,
DateTime:        , 2021/12/07, 15:57:37, 1638907057581,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -65.07,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             50,       5, 
Sio:,    140.99,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     26.757,
    1,        0.8,    172.916,      26.476,     27.291,
    2,        3.3,    181.479,      27.439,     27.576,
    3,        5.8,    181.479,      28.356,     27.858,
    4,        8.3,    181.776,      28.332,     28.137,
    5,       10.8,    181.739,      28.624,     28.414,
    6,       13.3,    181.998,      28.858,     28.689,
    7,       15.8,    182.072,      29.110,     28.960,
    8,       18.3,    182.295,      29.261,     29.229,
    9,       20.8,    182.147,      29.526,     29.495,
   10,       23.3,    182.295,      29.908,     29.758,
   11,       25.8,    182.517,      30.124,     30.019,
   12,       28.3,    182.443,      30.421,     30.276,
   13,       30.8,    182.591,      30.582,     30.530,
   14,       33.3,    182.369,      30.861,     30.781,
   15,       35.8,    182.517,      30.704,     31.029,
   16,       38.3,    182.480,      31.237,     31.274,
   17,       40.8,    182.591,      31.218,     31.516,
   18,       43.3,    182.628,      31.869,     31.755,
   19,       45.8,    182.666,      31.862,     31.991,
   20,       48.3,    182.740,      32.112,     32.223,
   21,       50.8,    182.517,      32.184,     32.452,
   22,       53.3,    182.703,      32.786,     32.678,
   23,       55.8,    182.666,      32.705,     32.901,
   24,       58.3,    182.517,      33.071,     33.120,
   25,       60.8,    182.740,      33.272,     33.337,
   26,       63.3,    182.554,      33.360,     33.549,
   27,       65.8,    182.591,      33.715,     33.759,
   28,       68.3,    182.480,      33.769,     33.965,
   29,       70.8,    182.740,      34.257,     34.168,
