Source DataFile                                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:10:55,    1638911454866,--Not Acquired--     ,--Not Acquired--     ,  -70.49,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     17.798,   160.240,    309.830,    149.590,  0.4828,  0.9335,    64.55,  0.1850,     0.000,    0.000,  0.655,      545,  0.281,     4329,  0.064,   172889,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.422,   189.14,    79.80,  0.000,       5.00,    0.001,    600.00,  466.38,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:10:57,    1638911456934,--Not Acquired--     ,--Not Acquired--     ,  -70.31,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.053,   168.020,    293.140,    125.120,  0.4268,  0.7447,    67.55,  0.0220,     0.000,    0.000,  0.541,      394,  0.374,     1694,  0.085,    12182,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.409,  1305.69,   533.53,  0.000,       5.00,    0.009,    600.00,  346.62,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:13:58,    1638911637952,--Not Acquired--     ,--Not Acquired--     ,  -51.28,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   20.00,    0.00,     13.670,   175.330,    329.870,    154.540,  0.4685,  0.8814,    79.91,  0.0070,     0.000,    0.000,  0.575,      401,  0.365,     1533,  0.060,    10077,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.482,  1494.19,   719.98,  0.000,       5.00,    0.000,    600.00,  443.82,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:14:00,    1638911639966,--Not Acquired--     ,--Not Acquired--     ,  -70.85,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     23.263,   167.860,    339.520,    171.660,  0.5056,  1.0226,    75.57,  0.0980,     0.000,    0.000,  0.659,      464,  0.289,     2124,  0.052,    12250,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.464,  1419.14,   658.58,  0.000,       5.00,    0.000,    600.00,  544.58,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:17:01,    1638911820980,--Not Acquired--     ,--Not Acquired--     ,  -28.05,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,     25.179,   183.100,    347.000,    163.900,  0.4723,  0.8951,    84.27,  0.0000,     0.000,    0.000,  0.478,      358,  0.443,     1187,  0.079,     7510,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.507,  1530.64,   776.77,  0.000,       5.00,    0.000,    600.00,  574.20,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:17:03,    1638911822994,--Not Acquired--     ,--Not Acquired--     ,  -70.32,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     16.103,   168.290,    363.700,    195.410,  0.5373,  1.1612,    72.00,  0.1100,     0.000,    0.000,  0.625,      416,  0.316,     1792,  0.059,    11796,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.443,  1525.98,   675.75,  0.000,       5.00,    0.000,    600.00,  491.34,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:20:04,    1638912004008,--Not Acquired--     ,--Not Acquired--     ,   23.38,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,     30.345,   200.970,    379.100,    178.130,  0.4699,  0.8864,    85.00,  0.0000,     0.000,    0.000,  0.574,      446,  0.320,     1078,  0.105,     5971,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.512,  1587.65,   812.68,  0.000,       5.00,    0.027,    600.00,  525.14,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:20:06,    1638912006003,--Not Acquired--     ,--Not Acquired--     ,  -71.13,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.581,   169.690,    407.650,    237.960,  0.5837,  1.4023,    73.80,  0.1850,     0.000,    0.000,  0.525,      266,  0.401,     1191,  0.074,     9239,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.459,  1773.85,   814.96,  0.204,      33.30,    0.019,    600.00,  607.78,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211207_SySl\PICO_202112071707_SySl1030_long_data.csv , 2021/12/07, 17:23:07,    1638912186982,--Not Acquired--     ,--Not Acquired--     ,  135.97,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,     38.427,   231.800,    377.800,    146.000,  0.3864,  0.6299,    95.31,  0.0000,     0.000,    0.000,  0.702,      493,  0.218,     1343,  0.080,     7436,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.574,  1413.96,   811.57,  0.000,       5.00,    0.019,    600.00,  498.83,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
