Source DataFile                                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:41:48,    1638981708492,--Not Acquired--     ,--Not Acquired--     ,  -71.94,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.946,   164.330,    432.460,    268.130,  0.6200,  1.6317,    59.15,  0.3520,     0.000,    0.000,  0.520,      699,  0.410,     4519,  0.070,   150779,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.415,   194.26,    80.64,  0.094,      22.74,    0.014,    600.00,  565.75,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:41:50,    1638981710539,--Not Acquired--     ,--Not Acquired--     ,  -71.32,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.444,   174.380,    400.460,    226.080,  0.5646,  1.2965,    63.87,  0.1100,     0.000,    0.000,  0.412,      425,  0.501,     2275,  0.088,    15439,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.395,   970.18,   383.39,  0.133,      60.98,    0.000,    600.00,  670.98,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:42:01,    1638981721516,--Not Acquired--     ,--Not Acquired--     ,  -69.60,     0.0000,      0.0000,  NO DATA,    '10000,    20.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.128,   192.810,    510.370,    317.560,  0.6222,  1.6470,    53.79,  0.3630,     0.000,    0.000,  0.572,      347,  0.392,     2310,  0.037,    15252,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.346,  1973.26,   683.08,  0.773,      21.17,    0.002,    600.00,  558.91,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:42:03,    1638981723478,--Not Acquired--     ,--Not Acquired--     ,  -71.15,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.363,   175.760,    492.560,    316.800,  0.6432,  1.8025,    58.66,  0.2380,     0.000,    0.000,  0.444,      406,  0.485,     2230,  0.071,    16713,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.374,  1156.97,   432.48,  0.240,      37.38,    0.003,    600.00,  716.51,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:42:14,    1638981734456,--Not Acquired--     ,--Not Acquired--     ,  -66.59,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.456,   198.040,    547.110,    349.070,  0.6380,  1.7626,    52.13,  0.3940,     0.000,    0.000,  0.415,      253,  0.296,      764,  0.289,     3328,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.332,  2760.91,   917.28,  0.860,      22.97,    0.004,    600.00,  593.93,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:42:16,    1638981736408,--Not Acquired--     ,--Not Acquired--     ,  -71.01,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.613,   175.800,    497.980,    322.180,  0.6470,  1.8327,    60.25,  0.2770,     0.000,    0.000,  0.457,      401,  0.486,     2283,  0.057,    21129,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.389,  1095.99,   426.00,  0.312,      29.46,    0.006,    600.00,  779.80,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:42:27,    1638981747381,--Not Acquired--     ,--Not Acquired--     ,  -61.45,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.718,   200.300,    527.770,    327.470,  0.6205,  1.6349,    52.26,  0.3440,     0.000,    0.000,  0.600,      366,  0.389,     2704,  0.011,   116989,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.342,  1228.37,   420.70,  0.718,      25.30,    0.000,    600.00,  580.85,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:42:29,    1638981749410,--Not Acquired--     ,--Not Acquired--     ,  -70.83,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.295,   174.600,    501.480,    326.880,  0.6518,  1.8722,    59.64,  0.2800,     0.000,    0.000,  0.458,      420,  0.480,     2305,  0.062,    18972,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.385,  1125.47,   433.00,  0.274,      31.39,    0.005,    600.00,  978.42,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20211208\PICO_202112081239_SySl1019_1_long_data.csv , 2021/12/08, 12:42:40,    1638981760388,--Not Acquired--     ,--Not Acquired--     ,  -48.79,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.863,   210.430,    531.630,    321.200,  0.6042,  1.5264,    51.69,  0.3210,     0.000,    0.000,  0.572,      369,  0.410,     2572,  0.018,    58163,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.334,  1413.29,   472.36,  0.707,      23.74,    0.000,    600.00,  719.41,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
