----,
DateTime:        , 2022/04/07, 15:16:53, 1649355413627,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -297.51,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,     76.58,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    695.582,
    1,        0.8,     90.677,     700.881,    713.205,
    2,        3.3,     91.450,     704.588,    709.911,
    3,        5.8,     90.291,     708.311,    709.534,
    4,        8.3,     89.827,     707.402,    710.806,
    5,       10.8,     89.673,     709.848,    713.006,
    6,       13.3,     89.209,     715.331,    715.758,
    7,       15.8,     88.977,     718.206,    718.782,
    8,       18.3,     88.436,     721.355,    721.961,
    9,       20.8,     87.818,     727.344,    725.202,
   10,       23.3,     87.509,     727.856,    728.410,
   11,       25.8,     87.277,     730.935,    731.557,
   12,       28.3,     86.582,     736.806,    734.678,
   13,       30.8,     86.427,     738.239,    737.693,
   14,       33.3,     85.886,     744.053,    740.653,
   15,       35.8,     85.809,     746.121,    743.500,
   16,       38.3,     85.500,     749.637,    746.274,
   17,       40.8,     85.654,     747.818,    748.931,
   18,       43.3,     85.113,     752.453,    751.561,
   19,       45.8,     84.882,     754.625,    754.116,
   20,       48.3,     84.650,     756.338,    756.599,
   21,       50.8,     84.495,     758.194,    759.006,
   22,       53.3,     84.032,     762.259,    761.375,
   23,       55.8,     83.954,     764.509,    763.656,
   24,       58.3,     83.491,     769.353,    765.901,
   25,       60.8,     83.336,     771.260,    768.070,
   26,       63.3,     83.104,     773.050,    770.179,
   27,       65.8,     83.104,     773.291,    772.208,
   28,       68.3,     83.182,     772.813,    774.162,
   29,       70.8,     82.641,     778.234,    776.119,
