Source DataFile                                                                ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:34:42,    1649615682141,--Not Acquired--     ,--Not Acquired--     , -288.91,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.677,   125.860,    187.050,     61.190,  0.3271,  0.4862,    63.36,  0.0050,     0.000,    0.000,  0.681,      618,  0.273,     6394,  0.047,   127264,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.383,   323.32,   123.87,  0.000,       5.00,    0.024,    600.00,  192.06,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:34:44,    1649615684249,--Not Acquired--     ,--Not Acquired--     , -289.79,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.654,   128.680,    187.980,     59.300,  0.3155,  0.4608,    78.36,  0.0000,     0.000,    0.000,  0.539,      339,  0.305,     1499,  0.156,     8783,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.472,  1053.52,   497.14,  0.047,     100.00,    0.031,    600.00,  143.70,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:37:45,    1649615865251,--Not Acquired--     ,--Not Acquired--     , -285.69,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.627,   146.210,    284.630,    138.420,  0.4863,  0.9467,    74.67,  0.2580,     0.000,    0.000,  0.609,      234,  0.383,     1413,  0.008,   155585,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.481,  1183.12,   568.63,  0.527,      16.56,    0.036,    600.00,  332.06,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:37:47,    1649615867298,--Not Acquired--     ,--Not Acquired--     , -290.66,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.433,   133.950,    264.600,    130.650,  0.4938,  0.9754,    74.54,  0.0990,     0.000,    0.000,  0.560,      342,  0.370,     1612,  0.070,    10139,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.458,  1495.82,   684.42,  0.000,       5.00,    0.000,    600.00,  292.20,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:40:48,    1649616048291,--Not Acquired--     ,--Not Acquired--     , -285.17,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.480,   152.630,    290.600,    137.970,  0.4748,  0.9040,    69.28,  0.2400,     0.000,    0.000,  0.536,      186,  0.273,      803,  0.192,     1907,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.427,  3860.83,  1647.86,  0.690,      14.03,    0.030,    600.00,  290.53,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:40:50,    1649616050253,--Not Acquired--     ,--Not Acquired--     , -293.35,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     10.134,   136.690,    263.140,    126.450,  0.4805,  0.9251,    74.06,  0.0650,     0.000,    0.000,  0.554,      354,  0.365,     1598,  0.081,     9510,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.452,  1450.98,   655.34,  0.000,       5.00,    0.000,    600.00,  376.67,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:43:51,    1649616231295,--Not Acquired--     ,--Not Acquired--     , -275.25,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.366,   142.030,    239.690,     97.660,  0.4074,  0.6876,    57.61,  0.1000,     0.000,    0.000,  0.574,      230,  0.420,     1416,  0.006,   217507,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.359,  1393.64,   500.20,  0.505,      15.19,    0.006,    600.00,  226.11,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:43:53,    1649616233349,--Not Acquired--     ,--Not Acquired--     , -289.78,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.556,   126.150,    229.420,    103.270,  0.4501,  0.8186,    64.88,  0.0000,     0.000,    0.000,  0.576,      373,  0.338,     1744,  0.086,     9835,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.391,  1550.64,   605.85,  0.000,       5.00,    0.012,    600.00,  316.47,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220410\PICO_202204101531_caloxy_SySl1155_445_2_LL_data.csv , 2022/04/10, 15:46:54,    1649616414355,--Not Acquired--     ,--Not Acquired--     , -290.35,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.034,   124.080,    201.190,     77.110,  0.3833,  0.6215,    64.72,  0.1240,     0.000,    0.000,  0.646,      590,  0.310,     4957,  0.045,    58474,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.405,   556.42,   225.29,  0.000,       5.00,    0.015,    600.00,  272.92,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
