----,
DateTime:        , 2022/04/12, 14:02:49, 1649782969494,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -100.55,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,       5, 
Sio:,    453.43,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    190.840,
    1,        0.8,    172.345,     189.360,    193.285,
    2,        3.3,    181.377,     195.081,    195.427,
    3,        5.8,    181.757,     200.506,    197.543,
    4,        8.3,    181.908,     202.164,    199.630,
    5,       10.8,    181.908,     203.857,    201.688,
    6,       13.3,    181.719,     205.721,    203.712,
    7,       15.8,    182.136,     206.984,    205.711,
    8,       18.3,    182.136,     208.653,    207.680,
    9,       20.8,    182.288,     210.674,    209.620,
   10,       23.3,    182.326,     211.858,    211.531,
   11,       25.8,    182.288,     213.965,    213.411,
   12,       28.3,    182.326,     215.500,    215.262,
   13,       30.8,    182.326,     217.102,    217.084,
   14,       33.3,    182.364,     218.767,    218.876,
   15,       35.8,    182.478,     220.560,    220.641,
   16,       38.3,    182.098,     222.316,    222.374,
   17,       40.8,    182.592,     223.774,    224.082,
   18,       43.3,    182.554,     225.595,    225.762,
   19,       45.8,    182.402,     227.318,    227.412,
   20,       48.3,    182.630,     228.809,    229.037,
   21,       50.8,    182.705,     230.137,    230.635,
   22,       53.3,    182.781,     231.748,    232.207,
   23,       55.8,    182.630,     233.430,    233.750,
   24,       58.3,    182.857,     234.715,    235.269,
   25,       60.8,    182.819,     236.229,    236.762,
   26,       63.3,    182.705,     237.887,    238.227,
   27,       65.8,    182.630,     239.410,    239.667,
   28,       68.3,    182.781,     240.568,    241.083,
   29,       70.8,    182.743,     242.062,    242.474,
