Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 14:58:11,    1650391091103,--Not Acquired--     ,--Not Acquired--     , -112.15,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.479,    67.516,     97.007,     29.491,  0.3040,  0.4368,    58.06,  0.0040,     0.000,    0.000,  0.582,      702,  0.348,     4309,  0.069,    36731,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.350,   641.87,   224.68,  0.000,       5.00,    0.021,    600.00,  120.52,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 14:58:13,    1650391093136,--Not Acquired--     ,--Not Acquired--     , -111.71,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.999,    68.215,     97.372,     29.157,  0.2994,  0.4274,    65.28,  0.0000,     0.000,    0.000,  0.465,      547,  0.358,     1606,  0.178,     7809,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.393,  1147.81,   451.23,  0.000,       5.00,    0.057,    600.00,   98.74,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 15:01:14,    1650391274151,--Not Acquired--     ,--Not Acquired--     , -110.39,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.585,    77.170,    136.190,     59.020,  0.4334,  0.7648,    72.48,  0.2590,     0.000,    0.000,  0.467,      207,  0.324,      717,  0.210,     2946,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.453,  2587.26,  1170.90,  0.599,      14.67,    0.035,    600.00,  212.23,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 15:01:16,    1650391276120,--Not Acquired--     ,--Not Acquired--     , -112.53,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     11.862,    71.520,    127.930,     56.410,  0.4409,  0.7887,    76.34,  0.0000,     0.000,    0.000,  0.364,      461,  0.486,     1491,  0.151,     7326,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.460,  1090.17,   501.18,  0.000,       5.00,    0.015,    600.00,  260.13,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 15:04:17,    1650391457144,--Not Acquired--     ,--Not Acquired--     , -108.40,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.041,    77.410,    133.890,     56.480,  0.4218,  0.7296,    64.55,  0.2140,     0.000,    0.000,  0.571,      270,  0.336,     1336,  0.093,     4399,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.400,  2694.43,  1077.30,  0.613,      13.95,    0.031,    600.00,  188.04,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 15:04:19,    1650391459114,--Not Acquired--     ,--Not Acquired--     , -111.92,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.887,    70.900,    125.540,     54.640,  0.4352,  0.7707,    74.25,  0.0000,     0.000,    0.000,  0.360,      486,  0.452,     1419,  0.189,     6292,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.447,  1117.24,   499.56,  0.000,       5.00,    0.013,    600.00,  276.49,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 15:07:20,    1650391640108,--Not Acquired--     ,--Not Acquired--     , -104.76,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.127,    76.210,    121.290,     45.080,  0.3717,  0.5915,    64.07,  0.1160,     0.000,    0.000,  0.623,      341,  0.367,     2092,  0.010,   210823,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.405,   797.71,   323.15,  0.436,      16.22,    0.014,    600.00,  133.89,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 15:07:22,    1650391642142,--Not Acquired--     ,--Not Acquired--     , -112.38,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.758,    68.820,    120.480,     51.660,  0.4288,  0.7507,    69.88,  0.0000,     0.000,    0.000,  0.371,      472,  0.437,     1373,  0.193,     6288,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.421,  1197.53,   503.95,  0.000,       5.00,    0.026,    600.00,  208.74,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220419\PICO_202204191454_caloxy_SySl1188_445_LL_data.csv , 2022/04/19, 15:10:23,    1650391823130,--Not Acquired--     ,--Not Acquired--     , -112.40,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.235,    69.520,    106.590,     37.070,  0.3478,  0.5332,    68.04,  0.0940,     0.000,    0.000,  0.533,      723,  0.414,     4103,  0.053,    33850,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.421,   620.11,   261.19,  0.007,      35.11,    0.009,    600.00,  181.12,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
