----,
DateTime:        , 2022/04/22, 15:31:05, 1650652264827,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -298.19,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,      0.14,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    661.704,
    1,        0.8,     88.960,     662.627,    672.457,
    2,        3.3,     91.028,     662.768,    669.171,
    3,        5.8,     90.415,     662.907,    666.661,
    4,        8.3,     90.109,     658.947,    664.756,
    5,       10.8,     89.879,     658.073,    663.332,
    6,       13.3,     89.189,     661.480,    662.314,
    7,       15.8,     88.883,     661.623,    661.600,
    8,       18.3,     88.500,     662.792,    661.131,
    9,       20.8,     88.040,     662.165,    660.859,
   10,       23.3,     87.121,     665.480,    660.763,
   11,       25.8,     86.814,     665.065,    660.777,
   12,       28.3,     86.967,     661.364,    660.852,
   13,       30.8,     86.967,     659.639,    660.981,
   14,       33.3,     86.508,     662.220,    661.172,
   15,       35.8,     86.048,     663.085,    661.409,
   16,       38.3,     86.124,     661.682,    661.653,
   17,       40.8,     85.665,     662.782,    661.927,
   18,       43.3,     85.128,     664.961,    662.225,
   19,       45.8,     84.975,     664.042,    662.520,
   20,       48.3,     84.745,     663.484,    662.813,
   21,       50.8,     84.439,     663.879,    663.105,
   22,       53.3,     84.209,     664.860,    663.390,
   23,       55.8,     84.209,     662.841,    663.655,
   24,       58.3,     83.902,     663.236,    663.916,
   25,       60.8,     83.596,     664.352,    664.171,
   26,       63.3,     83.366,     664.744,    664.415,
   27,       65.8,     82.906,     666.380,    664.659,
   28,       68.3,     82.906,     664.571,    664.877,
   29,       70.8,     82.600,     666.069,    665.087,
