Source DataFile                                                          ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:12:24,    1651677144081,--Not Acquired--     ,--Not Acquired--     , -113.77,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.845,   325.140,    537.260,    212.120,  0.3948,  0.6524,    84.51,  0.0680,     0.000,    0.000,  0.521,      255,  0.387,     1179,  0.092,     6845,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.515,  1623.83,   836.63,  0.281,      13.68,    0.061,    600.00,  360.05,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:12:26,    1651677146063,--Not Acquired--     ,--Not Acquired--     , -113.84,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.389,   325.610,    543.930,    218.320,  0.4014,  0.6705,    80.50,  0.0090,     0.000,    0.000,  0.570,      279,  0.353,     1279,  0.077,     7341,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.486,  1753.59,   851.38,  0.201,      17.68,    0.066,    600.00,  268.39,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:15:27,    1651677327023,--Not Acquired--     ,--Not Acquired--     , -110.08,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   10.00,    0.00,    0.00,    0.00,      3.356,   365.090,    712.110,    347.020,  0.4873,  0.9505,   139.21,  0.2270,     0.000,    0.000,  0.464,      238,  0.480,     1126,  0.056,     5918,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.883,  1221.26,  1078.65,  0.501,      11.16,    0.034,    600.00,  544.39,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:15:29,    1651677329008,--Not Acquired--     ,--Not Acquired--     , -114.84,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.148,   349.180,    714.920,    365.740,  0.5116,  1.0474,   136.74,  0.2230,     0.000,    0.000,  0.427,      252,  0.493,     1081,  0.081,     5175,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.868,  1147.61,   996.31,  0.285,      16.65,    0.035,    600.00,  529.75,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:18:30,    1651677509967,--Not Acquired--     ,--Not Acquired--     , -106.54,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   20.00,    0.00,    0.00,    0.00,      3.917,   377.330,    799.340,    422.010,  0.5279,  1.1184,   138.77,  0.2310,     0.000,    0.000,  0.452,      222,  0.488,     1075,  0.060,     5387,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.880,  1271.45,  1119.27,  0.583,      11.40,    0.037,    600.00,  616.37,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:18:32,    1651677511927,--Not Acquired--     ,--Not Acquired--     , -115.00,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      8.580,   356.890,    799.570,    442.680,  0.5536,  1.2404,   137.47,  0.2320,     0.000,    0.000,  0.413,      232,  0.503,     1031,  0.084,     4725,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.874,  1198.81,  1047.47,  0.376,      15.80,    0.036,    600.00,  752.76,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:21:33,    1651677692899,--Not Acquired--     ,--Not Acquired--     ,  -95.06,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   40.00,    0.00,    0.00,    0.00,      2.463,   384.690,    844.610,    459.920,  0.5445,  1.1956,   142.33,  0.2130,     0.000,    0.000,  0.455,      232,  0.502,     1139,  0.043,     6756,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.900,  1208.03,  1087.36,  0.669,      10.28,    0.030,    600.00,  563.67,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:21:35,    1651677694874,--Not Acquired--     ,--Not Acquired--     , -115.40,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.582,   356.030,    856.050,    500.020,  0.5841,  1.4044,   142.35,  0.2550,     0.000,    0.000,  0.389,      219,  0.513,      983,  0.098,     4009,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.910,  1189.29,  1082.75,  0.481,      14.32,    0.030,    600.00,  665.89,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041209_caloxy_SySl1227_50_data.csv , 2022/05/04, 12:24:36,    1651677875841,--Not Acquired--     ,--Not Acquired--     ,  -74.35,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   80.00,    0.00,    0.00,    0.00,      2.250,   376.430,    804.110,    427.680,  0.5319,  1.1361,   139.25,  0.2040,     0.000,    0.000,  0.461,      231,  0.511,     1162,  0.028,     9984,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.878,  1220.13,  1071.80,  0.686,       9.89,    0.026,    600.00,  669.80,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
