Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:48:01,    1651679281475,--Not Acquired--     ,--Not Acquired--     , -125.06,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     13.945,   760.100,   1132.210,    372.110,  0.3287,  0.4896,   303.30,  0.0000,     0.000,    0.000,  0.457,      150,  0.454,     1016,  0.089,     4585,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.827,   584.03,  1066.75,  0.179,      14.88,    0.006,    600.00,  623.51,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:48:03,    1651679283448,--Not Acquired--     ,--Not Acquired--     , -124.37,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     29.551,   761.970,   1187.010,    425.040,  0.3581,  0.5578,   269.11,  0.0000,     0.000,    0.000,  0.494,      150,  0.407,      916,  0.099,     4354,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.621,   703.10,  1139.46,  0.151,      24.75,    0.014,    600.00,  678.42,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:51:04,    1651679464429,--Not Acquired--     ,--Not Acquired--     , -120.37,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   10.00,    0.00,    0.00,    458.472,   858.810,   1344.130,    485.320,  0.3611,  0.5651,   637.99,  0.1320,     0.000,    0.000,  0.632,      150,  0.001,      300,  0.367,     2107,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.031,   289.31,  1166.24,  0.124,      21.18,    0.003,    600.00,  853.43,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:51:06,    1651679466426,--Not Acquired--     ,--Not Acquired--     , -127.45,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    573.029,   798.880,   1305.590,    506.710,  0.3881,  0.6343,   558.47,  0.0000,     0.000,    0.000,  0.529,      150,  0.470,     1775,  0.001,     1805,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.363,   324.89,  1092.71,  0.107,      21.06,    0.007,    600.00,  997.53,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:54:07,    1651679647428,--Not Acquired--     ,--Not Acquired--     , -103.34,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   20.00,    0.00,    0.00,    273.595,   910.650,   1291.610,    380.960,  0.2949,  0.4183,   860.64,  0.0000,     0.000,    0.000,  0.681,      150,  0.001,      300,  0.318,     3048,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    5.183,   179.97,   932.84,  0.054,      21.70,    0.000,    600.00,  628.02,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:54:09,    1651679649390,--Not Acquired--     ,--Not Acquired--     , -129.02,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    649.761,   815.490,   1307.520,    492.030,  0.3763,  0.6034,   690.66,  0.0080,     0.000,    0.000,  0.626,      150,  0.001,      300,  0.373,     2227,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.171,   259.29,  1081.62,  0.106,      19.56,    0.003,    600.00,  940.62,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:57:10,    1651679830406,--Not Acquired--     ,--Not Acquired--     ,  -74.04,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   40.00,    0.00,    0.00,    398.700,   971.390,   1358.240,    386.850,  0.2848,  0.3982,   797.32,  0.0000,     0.000,    0.000,  0.837,      150,  0.001,      300,  0.162,     4624,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.802,   238.38,  1144.71,  0.091,      24.24,    0.000,    600.00,  430.59,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 12:57:12,    1651679832392,--Not Acquired--     ,--Not Acquired--     , -128.09,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    607.663,   812.260,   1304.460,    492.200,  0.3773,  0.6060,   728.22,  0.0500,     0.000,    0.000,  0.628,      150,  0.001,      300,  0.371,     2313,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    4.467,   235.89,  1053.76,  0.095,      20.31,    0.002,    600.00,  883.37,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041244_caloxy_SySl1227_535_data.csv , 2022/05/04, 13:00:13,    1651680013374,--Not Acquired--     ,--Not Acquired--     ,  -12.27,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   80.00,    0.00,    0.00,    391.268,  1055.920,   1405.390,    349.470,  0.2487,  0.3310,   438.17,  0.0000,     0.000,    0.000,  0.847,      150,  0.061,     1182,  0.092,     7285,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.639,   436.91,  1152.92,  0.114,      31.97,    0.006,    600.00,  295.13,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
