----,
DateTime:        , 2022/05/10, 15:05:00, 1652205900298,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -107.54,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #01000,
Gain:,             25,       5, 
Sio:,     37.31,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,     26.119,
    1,        0.8,    169.573,      26.002,     26.602,
    2,        3.3,    183.490,      26.244,     26.553,
    3,        5.8,    183.665,      26.468,     26.546,
    4,        8.3,    183.770,      26.605,     26.563,
    5,       10.8,    184.119,      26.533,     26.596,
    6,       13.3,    184.084,      26.799,     26.638,
    7,       15.8,    184.329,      26.676,     26.686,
    8,       18.3,    184.329,      26.698,     26.737,
    9,       20.8,    184.259,      26.838,     26.790,
   10,       23.3,    184.329,      26.958,     26.845,
   11,       25.8,    184.294,      26.812,     26.900,
   12,       28.3,    184.469,      26.895,     26.955,
   13,       30.8,    184.294,      27.050,     27.011,
   14,       33.3,    184.504,      27.041,     27.066,
   15,       35.8,    184.609,      27.243,     27.122,
   16,       38.3,    184.714,      27.011,     27.177,
   17,       40.8,    184.609,      27.221,     27.232,
   18,       43.3,    184.504,      27.410,     27.288,
   19,       45.8,    184.714,      27.184,     27.342,
   20,       48.3,    184.609,      27.394,     27.397,
   21,       50.8,    184.784,      27.477,     27.452,
   22,       53.3,    184.679,      27.665,     27.506,
   23,       55.8,    184.784,      27.758,     27.561,
   24,       58.3,    184.819,      27.666,     27.615,
   25,       60.8,    184.889,      27.612,     27.669,
   26,       63.3,    184.819,      27.601,     27.722,
   27,       65.8,    184.784,      27.780,     27.776,
   28,       68.3,    184.819,      27.623,     27.829,
   29,       70.8,    184.784,      27.888,     27.883,
