Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:12:54,    1652371974016,--Not Acquired--     ,--Not Acquired--     , -112.38,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.119,   109.570,    165.430,     55.860,  0.3377,  0.5098,    87.25,  0.0750,     0.000,    0.000,  0.525,      216,  0.376,     1166,  0.099,     7848,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.533,  1438.28,   766.90,  0.727,       5.00,    0.050,    600.00,  165.19,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:12:56,    1652371975987,--Not Acquired--     ,--Not Acquired--     , -112.85,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.658,   108.890,    157.580,     48.690,  0.3090,  0.4471,    94.71,  0.0000,     0.000,    0.000,  0.534,      273,  0.391,     1323,  0.075,     8202,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.570,  1371.03,   781.97,  0.027,      79.42,    0.034,    600.00,  165.83,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:15:57,    1652372156971,--Not Acquired--     ,--Not Acquired--     , -111.40,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   10.00,    0.00,    0.00,    0.00,      4.974,   122.880,    218.570,     95.690,  0.4378,  0.7787,   163.72,  0.1650,     0.000,    0.000,  0.464,      150,  0.441,      828,  0.095,     2799,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.019,  1464.77,  1492.96,  0.560,       8.47,    0.028,    600.00,  471.73,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:15:59,    1652372158920,--Not Acquired--     ,--Not Acquired--     , -112.76,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.838,   117.770,    216.870,     99.100,  0.4570,  0.8415,   160.83,  0.0540,     0.000,    0.000,  0.439,      198,  0.490,     1008,  0.071,     4668,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.980,  1131.67,  1109.33,  0.280,      13.21,    0.021,    600.00,  392.89,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:19:00,    1652372339882,--Not Acquired--     ,--Not Acquired--     , -110.28,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   20.00,    0.00,    0.00,    0.00,      1.741,   129.510,    242.860,    113.350,  0.4667,  0.8752,   202.92,  0.2480,     0.000,    0.000,  0.455,      186,  0.524,     1095,  0.022,     5849,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.301,  1036.38,  1348.20,  0.506,       9.14,    0.011,    600.00,  405.04,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:19:02,    1652372341867,--Not Acquired--     ,--Not Acquired--     , -113.22,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.822,   122.890,    249.750,    126.860,  0.5079,  1.0323,   190.02,  0.1820,     0.000,    0.000,  0.387,      195,  0.539,     1014,  0.074,     4077,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.199,   939.35,  1126.35,  0.316,      14.16,    0.011,    600.00,  432.32,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:22:03,    1652372522847,--Not Acquired--     ,--Not Acquired--     , -106.61,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   40.00,    0.00,    0.00,    0.00,      1.393,   135.620,    279.110,    143.490,  0.5141,  1.0580,   194.60,  0.2320,     0.000,    0.000,  0.454,      187,  0.528,     1106,  0.018,     8512,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.242,  1033.93,  1284.24,  0.570,       9.60,    0.011,    600.00,  436.92,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:22:04,    1652372524801,--Not Acquired--     ,--Not Acquired--     , -113.90,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.330,   126.460,    292.820,    166.360,  0.5681,  1.3155,   176.70,  0.1930,     0.000,    0.000,  0.356,      188,  0.525,      899,  0.120,     3010,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.116,  1040.28,  1160.76,  0.540,      10.01,    0.016,    600.00,  560.67,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:25:05,    1652372705770,--Not Acquired--     ,--Not Acquired--     ,  -99.11,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,   80.00,    0.00,    0.00,    0.00,      1.608,   137.930,    280.000,    142.070,  0.5074,  1.0300,   184.07,  0.1880,     0.000,    0.000,  0.450,      191,  0.536,     1082,  0.014,    12373,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.160,  1064.98,  1235.60,  0.594,       8.74,    0.008,    600.00,  549.74,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220512\PICO_202205121309_caloxy_SySl1243_505_LL_data.csv , 2022/05/12, 13:25:07,    1652372707738,--Not Acquired--     ,--Not Acquired--     , -113.73,     0.0000,      0.0000,  NO DATA,    '00100,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.615,   124.710,    299.180,    174.470,  0.5832,  1.3990,   176.12,  0.2330,     0.000,    0.000,  0.359,      157,  0.505,      848,  0.136,     2810,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.123,  1082.28,  1215.38,  0.564,      11.63,    0.012,    600.00,  594.50,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
