----,
DateTime:        , 2022/05/15, 11:23:13, 1652624592976,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -292.54,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,    105.29,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    424.244,
    1,        0.8,     88.670,     428.648,    432.601,
    2,        3.3,     91.203,     432.322,    432.372,
    3,        5.8,     90.332,     435.929,    434.063,
    4,        8.3,     90.016,     437.684,    436.882,
    5,       10.8,     89.541,     442.015,    440.363,
    6,       13.3,     89.383,     444.252,    444.187,
    7,       15.8,     89.066,     448.076,    448.181,
    8,       18.3,     88.670,     451.767,    452.228,
    9,       20.8,     88.275,     455.265,    456.252,
   10,       23.3,     87.404,     460.943,    460.229,
   11,       25.8,     87.167,     463.231,    464.085,
   12,       28.3,     87.246,     464.989,    467.797,
   13,       30.8,     86.771,     469.146,    471.403,
   14,       33.3,     86.059,     475.469,    474.906,
   15,       35.8,     86.059,     478.490,    478.253,
   16,       38.3,     85.663,     481.868,    481.482,
   17,       40.8,     85.268,     485.159,    484.594,
   18,       43.3,     85.109,     487.707,    487.574,
   19,       45.8,     84.793,     490.589,    490.443,
   20,       48.3,     84.714,     493.054,    493.187,
   21,       50.8,     84.397,     495.614,    495.833,
   22,       53.3,     84.160,     498.438,    498.374,
   23,       55.8,     84.239,     499.631,    500.795,
   24,       58.3,     83.922,     501.873,    503.136,
   25,       60.8,     83.922,     503.184,    505.372,
   26,       63.3,     83.289,     508.450,    507.556,
   27,       65.8,     83.210,     510.015,    509.637,
   28,       68.3,     82.973,     511.956,    511.635,
   29,       70.8,     83.052,     512.311,    513.531,
