----,
DateTime:        , 2022/05/16, 10:46:20, 1652708780679,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -603.65,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,              5,       5, 
Sio:,     77.19,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    914.065,
    1,        0.8,     88.119,     929.029,    944.144,
    2,        3.3,     90.907,     932.259,    940.424,
    3,        5.8,     90.190,     935.413,    941.615,
    4,        8.3,     89.313,     946.830,    945.993,
    5,       10.8,     89.234,     953.055,    952.244,
    6,       13.3,     88.995,     962.806,    959.639,
    7,       15.8,     88.597,     971.423,    967.684,
    8,       18.3,     88.119,     981.232,    976.030,
    9,       20.8,     88.039,     986.890,    984.368,
   10,       23.3,     87.641,     993.429,    992.621,
   11,       25.8,     87.163,    1001.172,   1000.699,
   12,       28.3,     86.605,    1012.006,   1008.542,
   13,       30.8,     86.525,    1016.636,   1016.015,
   14,       33.3,     85.888,    1029.070,   1023.232,
   15,       35.8,     85.729,    1035.648,   1030.070,
   16,       38.3,     85.649,    1039.880,   1036.534,
   17,       40.8,     85.330,    1046.576,   1042.699,
   18,       43.3,     85.012,    1052.616,   1048.568,
   19,       45.8,     84.773,    1056.764,   1054.131,
   20,       48.3,     84.454,    1063.356,   1059.421,
   21,       50.8,     83.976,    1069.646,   1064.480,
   22,       53.3,     84.374,    1066.730,   1069.114,
   23,       55.8,     84.056,    1071.964,   1073.553,
   24,       58.3,     83.418,    1083.270,   1077.863,
   25,       60.8,     83.817,    1078.838,   1081.782,
   26,       63.3,     82.701,    1094.596,   1085.727,
   27,       65.8,     82.861,    1092.733,   1089.330,
   28,       68.3,     83.100,    1090.553,   1092.630,
