----,
DateTime:        , 2022/05/04, 13:13:21, 1651680801531,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -291.77,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,     93.98,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    721.345,
    1,        0.8,     88.791,     730.893,    734.688,
    2,        3.3,     91.092,     739.001,    737.889,
    3,        5.8,     90.172,     746.986,    742.810,
    4,        8.3,     89.942,     745.561,    748.871,
    5,       10.8,     89.635,     753.914,    755.666,
    6,       13.3,     89.328,     761.876,    762.898,
    7,       15.8,     88.638,     772.772,    770.361,
    8,       18.3,     88.638,     776.157,    777.874,
    9,       20.8,     88.331,     782.588,    785.345,
   10,       23.3,     87.488,     792.877,    792.717,
   11,       25.8,     86.874,     801.584,    799.914,
   12,       28.3,     86.874,     806.418,    806.874,
   13,       30.8,     86.337,     814.791,    813.611,
   14,       33.3,     86.261,     820.732,    820.085,
   15,       35.8,     86.414,     824.252,    826.286,
   16,       38.3,     85.647,     834.317,    832.275,
   17,       40.8,     85.724,     836.720,    837.989,
   18,       43.3,     85.494,     841.896,    843.461,
   19,       45.8,     85.034,     848.921,    848.713,
   20,       48.3,     84.804,     853.111,    853.728,
   21,       50.8,     84.190,     860.872,    858.542,
   22,       53.3,     83.960,     865.970,    863.128,
   23,       55.8,     83.883,     869.742,    867.487,
   24,       58.3,     83.653,     873.568,    871.645,
   25,       60.8,     83.500,     877.209,    875.604,
   26,       63.3,     83.270,     881.073,    879.382,
   27,       65.8,     83.117,     884.023,    882.979,
   28,       68.3,     82.810,     888.746,    886.417,
   29,       70.8,     82.810,     888.746,    889.676,
