Source DataFile                                                           ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
--------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:13:21,    1651680801531,--Not Acquired--     ,--Not Acquired--     , -291.77,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.990,   733.900,   1094.030,    360.130,  0.3292,  0.4907,   382.98,  0.0000,     0.000,    0.000,  0.802,      652,  0.193,     2599,  0.004,    25616,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.306,   382.13,   881.36,  0.450,       8.31,    0.030,    600.00,   93.98,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:13:23,    1651680803526,--Not Acquired--     ,--Not Acquired--     , -292.16,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.917,   733.950,   1079.900,    345.950,  0.3204,  0.4714,   475.52,  0.0000,     0.000,    0.000,  0.406,      376,  0.542,     1033,  0.052,     4144,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.864,   376.01,  1076.79,  0.322,      13.08,    0.018,    600.00,   93.50,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:16:24,    1651680984488,--Not Acquired--     ,--Not Acquired--     , -284.00,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   10.00,    0.00,      1.611,   856.360,   1469.290,    612.930,  0.4172,  0.7157,   620.74,  0.0850,     0.000,    0.000,  0.236,      174,  0.704,      857,  0.061,     2710,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.851,   324.37,  1249.20,  0.450,      10.86,    0.010,    600.00,  178.97,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:16:26,    1651680986450,--Not Acquired--     ,--Not Acquired--     , -291.52,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.791,   814.620,   1463.570,    648.950,  0.4434,  0.7966,   579.13,  0.1060,     0.000,    0.000,  0.226,      224,  0.540,      750,  0.234,     1609,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.619,   335.89,  1215.71,  0.529,       9.47,    0.013,    600.00,  146.00,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:19:27,    1651681167413,--Not Acquired--     ,--Not Acquired--     , -273.71,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   20.00,    0.00,      1.097,   917.210,   1576.830,    659.620,  0.4183,  0.7192,   613.49,  0.0280,     0.000,    0.000,  0.183,      213,  0.768,      845,  0.050,     2866,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.730,   324.07,  1208.94,  0.425,      11.13,    0.009,    600.00,  133.44,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:19:29,    1651681169378,--Not Acquired--     ,--Not Acquired--     , -291.31,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.246,   850.050,   1558.470,    708.420,  0.4546,  0.8334,   597.80,  0.1730,     0.000,    0.000,  0.186,      202,  0.562,      761,  0.252,     1472,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.833,   317.73,  1217.75,  0.552,       9.30,    0.010,    600.00,  216.10,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:22:30,    1651681350346,--Not Acquired--     ,--Not Acquired--     , -252.28,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      0.751,   990.880,   1688.500,    697.620,  0.4132,  0.7040,   604.53,  0.0000,     0.000,    0.000,  0.105,      262,  0.856,      757,  0.039,     3658,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.641,   335.48,  1221.40,  0.339,      14.12,    0.011,    600.00,  112.35,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:22:32,    1651681352344,--Not Acquired--     ,--Not Acquired--     , -293.41,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.802,   885.630,   1640.810,    755.180,  0.4602,  0.8527,   587.40,  0.1810,     0.000,    0.000,  0.248,      257,  0.478,      840,  0.274,     1366,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.777,   321.40,  1213.94,  0.645,       8.00,    0.010,    600.00,  161.69,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:25:33,    1651681533323,--Not Acquired--     ,--Not Acquired--     , -203.29,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      1.288,  1097.070,   1754.040,    656.970,  0.3745,  0.5988,   656.88,  0.0000,     0.000,    0.000,  0.156,      292,  0.833,      706,  0.011,     7712,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.956,   351.52,  1390.68,  0.318,      15.34,    0.009,    600.00,  126.48,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:25:35,    1651681535311,--Not Acquired--     ,--Not Acquired--     , -294.15,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.873,   916.730,   1714.690,    797.960,  0.4654,  0.8704,   586.50,  0.2510,     0.000,    0.000,  0.207,      150,  0.541,      769,  0.251,     1588,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.879,   312.65,  1212.77,  0.729,       6.85,    0.007,    600.00,  173.97,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:28:36,    1651681716262,--Not Acquired--     ,--Not Acquired--     , -103.46,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      1.547,  1217.040,   1784.010,    566.970,  0.3178,  0.4659,   558.51,  0.0000,     0.000,    0.000,  0.317,      150,  0.682,      616,  0.001,      619,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.364,   635.75,  2138.49,  0.264,      22.64,    0.013,    600.00,   84.41,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220504\PICO_202205041309_caloxy_SySl1227_590_data.csv , 2022/05/04, 13:28:38,    1651681718233,--Not Acquired--     ,--Not Acquired--     , -293.46,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.793,   907.480,   1681.520,    774.040,  0.4603,  0.8530,   587.32,  0.2490,     0.000,    0.000,  0.350,      277,  0.646,     1125,  0.004,   152467,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.936,   178.30,   701.75,  0.625,       8.23,    0.006,    600.00,  164.33,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
