----,
DateTime:        , 2022/05/13, 19:34:50, 1652481290543,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -112.37,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             25,       5, 
Sio:,    308.14,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    116.833,
    1,        0.8,    171.540,     115.553,    118.652,
    2,        3.3,    181.651,     119.201,    119.807,
    3,        5.8,    181.613,     122.645,    120.944,
    4,        8.3,    181.841,     123.680,    122.064,
    5,       10.8,    181.879,     124.225,    123.168,
    6,       13.3,    181.918,     125.233,    124.254,
    7,       15.8,    181.994,     126.016,    125.325,
    8,       18.3,    182.222,     126.670,    126.380,
    9,       20.8,    182.298,     127.737,    127.419,
   10,       23.3,    182.146,     128.700,    128.441,
   11,       25.8,    182.184,     129.683,    129.448,
   12,       28.3,    182.450,     130.458,    130.440,
   13,       30.8,    182.488,     131.593,    131.417,
   14,       33.3,    182.450,     132.256,    132.378,
   15,       35.8,    182.640,     133.301,    133.325,
   16,       38.3,    182.602,     134.074,    134.258,
   17,       40.8,    182.526,     135.138,    135.175,
   18,       43.3,    182.792,     135.729,    136.079,
   19,       45.8,    182.602,     136.768,    136.968,
   20,       48.3,    182.602,     137.578,    137.843,
   21,       50.8,    182.792,     138.376,    138.705,
   22,       53.3,    182.678,     139.273,    139.553,
   23,       55.8,    182.754,     139.959,    140.388,
   24,       58.3,    182.716,     140.755,    141.210,
   25,       60.8,    182.868,     141.294,    142.019,
   26,       63.3,    182.754,     142.542,    142.815,
   27,       65.8,    182.792,     143.191,    143.599,
   28,       68.3,    182.792,     143.716,    144.370,
   29,       70.8,    182.754,     144.774,    145.128,
