Source DataFile                                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-----------------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:34:50,    1652481290543,--Not Acquired--     ,--Not Acquired--     , -112.37,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.126,   117.550,    207.250,     89.700,  0.4328,  0.7631,    74.50,  0.0290,     0.000,    0.000,  0.643,      646,  0.255,     7085,  0.103,   254953,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.470,    74.93,    35.24,  0.000,       5.00,    0.009,    600.00,  308.14,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:34:52,    1652481292651,--Not Acquired--     ,--Not Acquired--     , -112.47,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.085,   125.800,    198.970,     73.170,  0.3677,  0.5816,    79.77,  0.0030,     0.000,    0.000,  0.681,      634,  0.258,     5276,  0.061,    75233,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.481,   326.23,   156.89,  0.000,       5.00,    0.015,    600.00,  266.93,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:37:53,    1652481473705,--Not Acquired--     ,--Not Acquired--     , -112.02,     0.0000,      0.0000,  NO DATA,    '10000,    10.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.481,   143.530,    264.850,    121.320,  0.4581,  0.8453,   105.56,  0.3530,     0.000,    0.000,  0.552,      297,  0.398,     1522,  0.050,    28858,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.710,   678.23,   481.79,  0.647,       8.25,    0.041,    600.00,  415.34,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:37:55,    1652481475685,--Not Acquired--     ,--Not Acquired--     , -112.30,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      4.338,   132.140,    264.930,    132.790,  0.5012,  1.0049,   100.85,  0.2270,     0.000,    0.000,  0.511,      344,  0.398,     1625,  0.091,    16147,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.649,   697.41,   452.93,  0.133,      23.98,    0.025,    600.00,  435.85,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:40:56,    1652481656704,--Not Acquired--     ,--Not Acquired--     , -111.37,     0.0000,      0.0000,  NO DATA,    '10000,    20.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.922,   146.460,    289.520,    143.060,  0.4941,  0.9768,    95.33,  0.3560,     0.000,    0.000,  0.558,      263,  0.402,     1383,  0.039,    26620,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.632,   978.13,   618.66,  0.657,      10.08,    0.052,    600.00,  355.64,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:40:58,    1652481658686,--Not Acquired--     ,--Not Acquired--     , -112.49,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.073,   132.500,    282.090,    149.590,  0.5303,  1.1290,    93.92,  0.1950,     0.000,    0.000,  0.517,      319,  0.401,     1599,  0.082,    15839,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.597,   823.96,   491.53,  0.166,      23.05,    0.020,    600.00,  523.65,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:43:59,    1652481839685,--Not Acquired--     ,--Not Acquired--     , -108.95,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.248,   150.520,    289.350,    138.830,  0.4798,  0.9223,    91.89,  0.3130,     0.000,    0.000,  0.573,      263,  0.398,     1440,  0.029,    39926,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.603,   935.12,   563.49,  0.548,      12.88,    0.042,    600.00,  377.17,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:44:01,    1652481841683,--Not Acquired--     ,--Not Acquired--     , -112.32,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.813,   132.160,    288.550,    156.390,  0.5420,  1.1833,    92.60,  0.2280,     0.000,    0.000,  0.520,      348,  0.394,     1589,  0.086,    14598,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.593,   853.44,   506.47,  0.122,      29.27,    0.029,    600.00,  518.92,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220513\PICO_202205131931_caloxy_SySl1243_445_LL_data.csv , 2022/05/13, 19:47:02,    1652482022652,--Not Acquired--     ,--Not Acquired--     , -104.66,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.158,   153.430,    284.340,    130.910,  0.4604,  0.8532,    87.43,  0.2770,     0.000,    0.000,  0.577,      270,  0.397,     1441,  0.026,    43322,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.566,  1005.44,   568.78,  0.511,      13.59,    0.041,    600.00,  387.18,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
