----,
DateTime:        , 2022/05/15, 13:13:40, 1652631220596,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -135.63,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00010,
Gain:,             25,       5, 
Sio:,   1055.43,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    810.789,
    1,        0.8,    143.541,     832.151,    847.883,
    2,        3.3,    153.967,     847.142,    861.484,
    3,        5.8,    153.877,     861.126,    874.859,
    4,        8.3,    153.931,     875.037,    887.949,
    5,       10.8,    153.913,     890.863,    900.696,
    6,       13.3,    154.058,     904.907,    913.068,
    7,       15.8,    154.022,     920.130,    925.027,
    8,       18.3,    153.949,     934.435,    936.549,
    9,       20.8,    153.769,     948.380,    947.618,
   10,       23.3,    153.643,     960.769,    958.229,
   11,       25.8,    153.553,     973.003,    968.384,
   12,       28.3,    153.535,     984.502,    978.088,
   13,       30.8,    153.481,     994.491,    987.345,
   14,       33.3,    153.463,    1004.434,    996.163,
   15,       35.8,    153.517,    1013.253,   1004.556,
   16,       38.3,    153.517,    1021.121,   1012.532,
   17,       40.8,    153.517,    1028.391,   1020.104,
   18,       43.3,    153.499,    1035.235,   1027.285,
   19,       45.8,    153.301,    1042.495,   1034.086,
   20,       48.3,    153.229,    1048.676,   1040.522,
   21,       50.8,    153.247,    1053.956,   1046.610,
   22,       53.3,    153.211,    1059.112,   1052.362,
   23,       55.8,    153.067,    1064.003,   1057.792,
   24,       58.3,    153.085,    1068.084,   1062.916,
   25,       60.8,    153.067,    1072.104,   1067.746,
   26,       63.3,    153.103,    1075.666,   1072.296,
   27,       65.8,    153.013,    1079.122,   1076.578,
   28,       68.3,    152.977,    1082.436,   1080.607,
